eps_val,n_clusters,n_noise,silh_score,cali_score,dbi_score
0.02,2,35,0.11,2.64,0.85
0.04,2,35,0.11,2.64,0.85
0.06,2,35,0.11,2.64,0.85
0.08,2,35,0.11,2.64,0.85
0.1,2,35,0.11,2.64,0.85
0.12,2,35,0.11,2.64,0.85
0.14,2,35,0.11,2.64,0.85
0.16,2,35,0.11,2.64,0.85
0.18,3,33,0.11,2.5,0.96
0.2,3,33,0.11,2.5,0.96
0.22,3,33,0.11,2.5,0.96
0.24,4,31,0.11,2.61,0.95
0.26,4,31,0.11,2.61,0.95
0.28,4,31,0.11,2.61,0.95
0.3,4,31,0.11,2.61,0.95
0.32,4,31,0.11,2.61,0.95
0.34,4,31,0.11,2.61,0.95
0.36,4,31,0.11,2.61,0.95
0.38,4,31,0.11,2.61,0.95
0.4,4,29,0.15,3.25,1.04
0.42,4,29,0.15,3.25,1.04
0.44,5,27,0.16,3.29,1.03
0.46,5,27,0.16,3.29,1.03
0.48,6,25,0.19,3.29,1.05
0.5,6,25,0.19,3.29,1.05
0.52,6,25,0.19,3.29,1.05
0.54,6,23,0.18,3.8,1.09
0.56,4,23,0.21,5.29,1.19
0.58,4,22,0.22,5.64,1.18
0.6,7,13,0.14,4.43,1.34
0.62,7,13,0.14,4.43,1.34
0.64,6,11,0.13,4.74,1.35
0.66,6,11,0.13,4.74,1.35
0.68,3,11,0.15,6.05,1.55
0.7,3,11,0.15,6.05,1.55
0.72,3,9,0.2,6.8,1.43
0.74,3,8,0.2,7.2,1.44
0.76,2,7,0.23,10.12,1.57
0.78,2,7,0.23,10.12,1.57
0.8,2,7,0.23,10.12,1.57
0.82,2,6,0.24,10.16,1.51
0.84,2,5,0.27,10.19,1.41
0.86,2,5,0.27,10.19,1.41
0.88,3,3,0.25,7.18,1.43
0.9,3,3,0.25,7.18,1.43
0.92,3,2,0.26,7.23,1.35
0.94,3,2,0.26,7.23,1.35
0.96,2,2,0.16,3.5,1.46
0.98,2,1,0.16,3.5,1.18
