eps_val,n_clusters,n_noise,silh_score,cali_score,dbi_score
0.02,1,12,0.0,0.0,0.0
0.04,1,12,0.0,0.0,0.0
0.06,1,12,0.0,0.0,0.0
0.08,1,12,0.0,0.0,0.0
0.1,1,12,0.0,0.0,0.0
0.12,1,12,0.0,0.0,0.0
0.14,1,12,0.0,0.0,0.0
0.16,1,12,0.0,0.0,0.0
0.18,1,12,0.0,0.0,0.0
0.2,1,12,0.0,0.0,0.0
0.22,1,12,0.0,0.0,0.0
0.24,1,12,0.0,0.0,0.0
0.26,1,12,0.0,0.0,0.0
0.28,1,12,0.0,0.0,0.0
0.3,1,12,0.0,0.0,0.0
0.32,1,12,0.0,0.0,0.0
0.34,1,12,0.0,0.0,0.0
0.36,1,12,0.0,0.0,0.0
0.38,1,12,0.0,0.0,0.0
0.4,1,12,0.0,0.0,0.0
0.42,1,12,0.0,0.0,0.0
0.44,1,10,0.08,1.8,1.25
0.46,1,10,0.08,1.8,1.25
0.48,1,10,0.08,1.8,1.25
0.5,1,7,0.28,6.1,1.18
0.52,1,7,0.28,6.1,1.18
0.54,1,7,0.28,6.1,1.18
0.56,1,7,0.28,6.1,1.18
0.58,1,7,0.28,6.1,1.18
0.6,1,7,0.28,6.1,1.18
0.62,1,7,0.28,6.1,1.18
0.64,1,7,0.28,6.1,1.18
0.66,1,7,0.28,6.1,1.18
0.68,1,7,0.28,6.1,1.18
0.7,1,7,0.28,6.1,1.18
0.72,1,7,0.28,6.1,1.18
0.74,1,7,0.28,6.1,1.18
0.76,1,7,0.28,6.1,1.18
0.78,1,7,0.28,6.1,1.18
0.8,1,7,0.28,6.1,1.18
0.82,1,7,0.28,6.1,1.18
0.84,1,7,0.28,6.1,1.18
0.86,2,5,0.21,4.03,1.5
0.88,2,5,0.21,4.03,1.5
0.9,2,4,0.23,4.29,1.58
0.92,2,4,0.23,4.29,1.58
0.94,2,4,0.23,4.29,1.58
0.96,2,4,0.23,4.29,1.58
0.98,2,4,0.23,4.29,1.58
