eps_val,n_clusters,n_noise,silh_score,cali_score,dbi_score
0.02,2,33,0.11,2.61,0.86
0.04,2,33,0.11,2.61,0.86
0.06,2,33,0.11,2.61,0.86
0.08,2,33,0.11,2.61,0.86
0.1,2,33,0.11,2.61,0.86
0.12,2,33,0.11,2.61,0.86
0.14,2,33,0.11,2.61,0.86
0.16,2,33,0.11,2.61,0.86
0.18,3,31,0.11,2.48,0.97
0.2,3,31,0.11,2.48,0.97
0.22,3,31,0.11,2.48,0.97
0.24,4,29,0.12,2.59,0.96
0.26,4,29,0.12,2.59,0.96
0.28,4,29,0.12,2.59,0.96
0.3,4,29,0.12,2.59,0.96
0.32,4,29,0.12,2.59,0.96
0.34,4,29,0.12,2.59,0.96
0.36,4,29,0.12,2.59,0.96
0.38,4,29,0.12,2.59,0.96
0.4,4,27,0.15,3.25,1.04
0.42,4,27,0.15,3.25,1.04
0.44,5,25,0.17,3.3,1.03
0.46,5,25,0.17,3.3,1.03
0.48,6,23,0.2,3.32,1.04
0.5,6,23,0.2,3.32,1.04
0.52,6,23,0.2,3.32,1.04
0.54,6,21,0.2,3.87,1.08
0.56,4,21,0.22,5.4,1.17
0.58,4,20,0.23,5.79,1.16
0.6,7,11,0.16,4.58,1.3
0.62,7,11,0.16,4.58,1.3
0.64,6,9,0.15,5.01,1.31
0.66,6,9,0.15,5.01,1.31
0.68,3,9,0.19,6.34,1.47
0.7,3,9,0.19,6.34,1.47
0.72,3,8,0.22,6.82,1.39
0.74,3,7,0.22,7.22,1.38
0.76,2,6,0.25,10.22,1.5
0.78,2,6,0.25,10.22,1.5
0.8,2,6,0.25,10.22,1.5
0.82,2,6,0.25,10.22,1.5
0.84,2,5,0.27,10.2,1.4
0.86,2,5,0.27,10.2,1.4
0.88,3,3,0.26,7.19,1.43
0.9,3,3,0.26,7.19,1.43
0.92,3,2,0.26,7.25,1.35
0.94,3,2,0.26,7.25,1.35
0.96,2,2,0.16,3.43,1.46
0.98,2,1,0.16,3.44,1.18
