ICBPIPDO	bin.37
BMPHCDLN	AccIA
KICMIBGK	AccIB
HFGAPFKF	AccIC
ABKKLHID	bin.10
IGBGFGJJ	bin.11
JBMBFGGC	bin.14
MFLMIBAO	bin.16
GLOMCLBO	bin.18
GCENJEAC	bin.28
HIPPKMOH	bin.29
JFJJBMKL	bin.33
GHGGOFKM	bin.35
GDKEFIID	bin.36
FJPNOHFP	bin.39
EMOMCILC	bin.40
NDPOJCLF	bin.43
EIBAHHEE	bin.45
GLHBDJIC	bin.47
PBNEGLPN	bin.48
ELEAPDCB	bin.52
LBAIONHB	bin.54
FCHPGDPH	bin.60
KOBJJBGC	bin.61
BKADPDJL	bin.63
BGKIJFJJ	bin.64
GPOFMNNK	bin.69
EDAGPPIL	bin.70
HDIBMDCN	bin.71
KINICFOJ	bin.73
DHHJAODK	bin.76
OHMBJABB	bin.78
KCOCDIOH	bin.80
MBKMGILA	bin.86
KJNKJPML	bin.87
