bin:contig,start,end,locus_tag,ec_num
3300026303.a:Ga0209793_1002705,6341,7420,BFDIBNHA_01311,3.4.19.5
3300013502.a:Ga0119901_1000003,267181,268128,BFHKKPGM_02027,3.4.19.5
3300025740.a:Ga0208940_1000529,6043,7047,HDENMGOB_02091,3.4.19.5
3300025855.a:Ga0209717_1001013,19271,20227,IAPGALPG_00109,3.4.19.5
3300025682.a:Ga0209718_1000168,63140,64144,AADMAPCH_01027,3.4.19.5
3300026516.a:Ga0209573_1000338,81088,82062,DJCPEEIO_01106,3.4.19.5
3300025393.a:Ga0208041_1000138,21440,22417,CICHDAIN_00745,3.4.19.5
3300029311.a:Ga0167331_1000013,22102,23106,OPNNFHJG_01999,3.4.19.5
3300026289.a:Ga0209369_1000061,16814,17656,FDAKEFHN_01194,3.4.19.5
3300023187.a:Ga0256613_1070490,37335,38249,APLLFPEC_01585,3.4.19.5
3300012533.a:Ga0138256_10000022,1819,2832,LPKEGACG_03536,3.4.19.5
3300012533.a:Ga0138256_10000022,52122,53234,LPKEGACG_03588,3.4.19.5
3300026283.a:Ga0209368_1000013,365708,366784,CJEACHFG_01249,3.4.19.5
3300025748.a:Ga0208459_1000111,54226,55230,FHIFNCBL_00670,3.4.19.5
3300025858.a:Ga0209099_1000025,142954,143958,CGKICAHN_01041,3.4.19.5
3300026288.a:Ga0209572_1000041,239025,240086,PMOADJIB_01242,3.4.19.5
3300026288.a:Ga0209572_1000005,177536,178426,PMOADJIB_01521,3.4.19.5
3300026289.a:Ga0209369_1000003,491512,492468,OEBOIMAJ_00514,3.4.19.5
3300026516.a:Ga0209573_1006525,2423,3469,HLCHEGLN_02500,3.4.19.5
3300026516.a:Ga0209573_1000704,30482,31435,HLCHEGLN_03255,3.4.19.5
3300025605.a:Ga0209720_1000006,220397,221326,MEALAJIB_00755,3.4.19.5
3300025713.a:Ga0208195_1000724,25264,26241,MIBALLGJ_00030,3.4.19.5
3300025393.a:Ga0208041_1000437,407,1429,MABHHPKL_01618,3.4.19.5
3300023194.a:Ga0256612_1011196,114622,115464,BCPFCBFH_00462,3.4.19.5
3300026516.a:Ga0209573_1000004,659640,660605,GOFHMDJM_01005,3.4.19.5
