orf_id,ortho_cluster_id,ortho_cluster_members,i_val,mmseqs_cluster_representative,mmseqs_cluster_id
GCF_000011385_00113,14,GCF_000011385_00113,4.0,GCF_000011385_00113,0
GCF_000011385_00114,18,GCF_000011385_00114,4.0,GCF_000011385_00114,1
GCF_000011385_00115,21,GCF_000011385_00115,4.0,GCF_000011385_00115,2
GCF_000011385_00116,27,GCF_000011385_00116,4.0,GCF_000011385_00116,3
GCF_000011385_00117,31,GCF_000011385_00117,4.0,GCF_000011385_00117,4
GCF_000011385_00118,34,GCF_000011385_00118,4.0,GCF_000011385_00118,5
GCF_000011385_00119,36,GCF_000011385_00119,4.0,GCF_000011385_00119,6
GCF_000011385_00120,38,GCF_000011385_00120,4.0,GCF_000011385_00120,7
GCF_000011385_00121,41,GCF_000011385_00121,4.0,GCF_000011385_00121,8
GCF_000011385_00122,44,GCF_000011385_00122,4.0,GCF_000011385_00122,9
GCF_000011385_00123,47,GCF_000011385_00123,4.0,GCF_000011385_00123,10
GCF_000011385_00124,50,GCF_000011385_00124,4.0,GCF_000011385_00124,11
GCF_000011385_00125,53,GCF_000011385_00125,4.0,GCF_000011385_00125,12
GCF_000011385_00126,56,GCF_000011385_00126,4.0,GCF_000011385_00126,13
GCF_000011385_04200,59,GCF_000011385_04200,4.0,GCF_000011385_04200,14
GCF_000011385_04201,62,GCF_000011385_04201,4.0,GCF_000011385_04201,15
GCF_000011385_04202,64,GCF_000011385_04202,4.0,GCF_000011385_04202,16
GCF_000011385_04203,66,GCF_000011385_04203,4.0,GCF_000011385_04203,17
GCF_000011385_04204,70,GCF_000011385_04204,4.0,GCF_000011385_04204,18
GCF_000011385_04205,74,GCF_000011385_04205,4.0,GCF_000011385_04205,19
GCF_000011385_04206,77,GCF_000011385_04206,4.0,GCF_000011385_04206,20
GCF_000011385_04207,80,GCF_000011385_04207,4.0,GCF_000011385_04207,21
GCF_000011385_04208,84,GCF_000011385_04208,4.0,GCF_000011385_04208,22
GCF_000011385_04209,86,GCF_000011385_04209,4.0,GCF_000011385_04209,23
GCF_000011385_04210,88,GCF_000011385_04210,4.0,GCF_000011385_04210,24
GCF_000011385_04211,90,GCF_000011385_04211,4.0,GCF_000011385_04211,25
GCF_000011385_04212,93,GCF_000011385_04212,4.0,GCF_000011385_04212,26
GCF_000011385_04213,94,GCF_000011385_04213,4.0,GCF_000011385_04213,27
GCF_000011385_04214,95,GCF_000011385_04214,4.0,GCF_000011385_04214,28
GCF_000046845_01129,96,GCF_000046845_01129,4.0,GCF_000046845_01129,29
GCF_000046845_01130,99,GCF_000046845_01130,4.0,GCF_000046845_01130,30
GCF_000046845_01131,24,GCF_000046845_01131,4.0,GCF_000046845_01131,31
GCF_000046845_01132,15,GCF_000046845_01132,4.0,GCF_000046845_01132,32
GCF_000046845_01133,19,GCF_000046845_01133,4.0,GCF_000046845_01133,33
GCF_000046845_01134,22,GCF_000046845_01134,4.0,GCF_000046845_01134,34
GCF_000046845_01135,28,GCF_000046845_01135,4.0,GCF_000046845_01135,35
GCF_000046845_01136,32,GCF_000046845_01136,4.0,GCF_000046845_01136,36
GCF_000046845_01137,35,GCF_000046845_01137,4.0,GCF_000046845_01137,37
GCF_000046845_01138,37,GCF_000046845_01138,4.0,GCF_000046845_01138,38
GCF_000046845_01139,39,GCF_000046845_01139,4.0,GCF_000046845_01139,39
GCF_000204075_00334,42,GCF_000204075_00334,4.0,GCF_000204075_00334,40
GCF_000204075_00335,45,GCF_000204075_00335,4.0,GCF_000204075_00335,41
