gene_id	gene_name	ac1_gene_length	ac_1	ac_2	ac_3	pr_1	pr_2	pr_3	prkm_pr_1	prkm_pr_2	prkm_pr_3	prkm_ac_1	prkm_ac_2	prkm_ac_3
AccIC_00001	N5-carboxyaminoimidazole ribonucleotide mutase	489	14.229	42.364	17.583	5.741	42.502	17.529	10.2506442318316	29.7126472560462	14.6355754365563	10.3831300180773	33.813854351862	16.5890843068596
AccIC_00002	Bifunctional protein FolD protein	852	29.678	68.377	30.298	13.313	75.486	42.785	23.7705672632598	52.771372894685	35.7226935394523	21.6565136465316	54.5767613779924	28.5853424517563
AccIC_00003	hypothetical protein	630	6.002	15.881	6.21	3.139	17.144	10.573	5.60473301580203	11.9851683346114	8.82776764736775	4.3797558766252	12.6758054235181	5.85896681713006
AccIC_00004	hypothetical protein	1258	25.665	37.106	26.324	10.33	45.305	29.896	18.4443746585648	31.6721915188738	24.9612164556612	18.7281630412505	29.6170540926304	24.83598107796
AccIC_00005	hypothetical protein	636	6.492	21.088	10.164	3.698	20.972	8.888	6.60283615560239	14.6612780164181	7.42090218952091	4.73731675292415	16.8318987954883	9.58945873257809
AccIC_00006	hypothetical protein	1883	20.933	44.597	21.159	8.782	43.122	24.465	15.6803967329638	30.1460819485018	20.4266845259484	15.2751465787063	35.5961774745065	19.9629434595258
AccIC_00007	Pyruvate dehydrogenase E1 component	2691	55.025	56.148	56.687	42.469	44.715	46.357	75.8290558929902	31.2597294728273	38.7050813230897	40.1526269762248	44.8158883520997	53.4826492693481
AccIC_00008	Glucose 1-dehydrogenase 1	768	14.669	30.945	25.873	5.655	31.05	30.142	10.0970899026316	21.7066890334628	25.166610463157	10.7042050906723	24.6995024765927	24.4104747922071
AccIC_00009	Demethylphylloquinone reductase NdbB	1347	4.647	9.935	7.595	1.839	12.243	13.418	3.28356292324305	8.55893699957116	11.2031576934059	3.39099059624747	7.92986127338659	7.16567680774602
AccIC_00010	Trehalase	1701	2.367	2.755	1.376	1.16	2.238	2.462	2.07119792874493	1.56455942212205	2.05560994493705	1.72723794734619	2.19897008637947	1.29821873435925
AccIC_00011	hypothetical protein	234	18.462	14.09	7.506	4.267	13	10.185	7.61879444996089	9.0881467772952	8.50381287131756	13.4720181596558	11.2462753238064	7.08170771809633
AccIC_00012	C4-dicarboxylate TRAP transporter large permease protein DctM	1319	35.05	39.037	33.09	12.129	45.794	46.81	21.6565169635753	32.0140456553428	39.0833068734782	25.5765483964867	31.1583285887461	31.2195188371713
AccIC_00013	hypothetical protein	543	28.869	35.241	29.457	10.109	39.199	45.464	18.0497757428298	27.4035588863996	37.9594843771803	21.0661733426013	28.1284590976766	27.7918817282126
AccIC_00014	Lactate-binding periplasmic protein	1017	186.401	115.66	145.693	55.075	138.71	165.041	98.337263728989	96.9705261137397	137.798505654897	136.019805924494	92.3168349149364	137.457399756543
AccIC_00015	Spermidine/putrescine import ATP-binding protein PotA	405	7.847	7.01	7.225	0.283	8.473	5.005	0.505300873995531	5.92337443415555	4.17884962404952	5.72608203330188	5.59520156280221	6.81659182830349
AccIC_00016	Poly(3-hydroxyalkanoate) polymerase subunit PhaC	1836	61.217	19.133	45.834	39.854	31.564	57.02	71.159932976035	22.0660203752727	47.6079931195412	44.6710289069251	15.2714681171319	43.243137696673
AccIC_00017	2,4-dienoyl-CoA reductase	2033	9.071	4.725	6.783	4.893	9.638	8.743	8.73652712530083	6.73781220304393	7.299836615997	6.6192545079752	3.7713733786363	6.39957679880728
AccIC_00018	HTH-type transcriptional repressor KstR2	618	2.049	1.265	3.662	2.794	6.701	6.724	4.98873018354599	4.68459011958885	5.61410287155025	1.49518823578891	1.00969043893649	3.45499782356365
AccIC_00019	hypothetical protein	531	9.045	7.419	9.354	1.108	10.763	6.106	1.97835112504258	7.52428644338678	5.09811304784143	6.60028189004913	5.92165483515401	8.82524566947417
AccIC_00020	putative ABC transporter-binding protein	1332	14.83	10.251	10.214	6.263	10.486	8.196	11.1826832997668	7.33063900820903	6.84312717656541	10.8216893785991	8.18208433955571	9.6366323784487
AccIC_00021	hypothetical protein	246	52.85	31.224	31.13	22.355	41.886	26.638	39.9151980147354	29.2820089164451	22.2409982588274	38.5654945151019	24.9221930951407	29.3703119190433
AccIC_00022	hypothetical protein	627	108.252	65.284	50.934	44.014	85.494	62.018	78.5876772722238	59.767847736775	51.780998198662	78.9932244512547	52.1080083917232	48.0548495754754
AccIC_00023	hypothetical protein	204	2.721	0.519	2.05	2.787	3.879	0.829	4.97623157535529	2.71176318070216	0.69216110656085	1.98555743757034	0.414252440954971	1.93411948069511
AccIC_00024	Ribulose bisphosphate carboxylase	1349	8.483	4.652	8.341	2.823	6.588	5.085	5.04051013176461	4.60559315144775	4.24564442323513	6.19018145641645	3.71310665765419	7.86950760413556
AccIC_00025	Denitrification regulatory protein NirQ	799	7.713	5.058	6.586	1.891	8.049	5.708	3.37640972694541	5.626961031573	4.76580892189304	5.62830007937523	4.03716540722591	6.21371263407707
AccIC_00026	hypothetical protein	171	1.427	0.955	1.298	0.77	2.063	0.725	1.37484690097724	1.44221898473538	0.605327867619561	1.04130483771146	0.762256418327548	1.2246278468011
AccIC_00027	Protein translocase subunit SecD	1122	10.856	27.531	11.77	5.527	28.493	10.275	9.86854392428729	19.9191204711902	8.57895702040137	7.92179770020712	21.9745355528542	11.1046762379422
