locus_tag,ftype,length_bp,gene,EC_number,COG,product,bin
PJBICFCB_03227,CDS,1032,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026516_11
IAPGALPG_00109,CDS,957,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025855_16
DJCPEEIO_01106,CDS,975,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026516_23
IBIDFEHA_01896,CDS,927,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300009540_22
FHIFNCBL_00670,CDS,1005,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025748_21
BPAONJBP_01244,CDS,924,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026283_13
MBNOJLMN_02094,CDS,843,,3.4.19.5,,Isoaspartyl peptidase/L-asparaginase,3300026288_16
CJEACHFG_01249,CDS,1077,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026283_12
AEKJDHPB_00276,CDS,1014,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300027789_2
FONNAEDF_01607,CDS,924,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025861_25
DNLBKNFA_02930,CDS,882,,3.4.19.5,,Isoaspartyl peptidase/L-asparaginase,3300025702_1
ONJOJNNC_01319,CDS,906,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300028622_13
GFNAJHAB_02503,CDS,843,,3.4.19.5,,Isoaspartyl peptidase/L-asparaginase,3300023187_9
KILKOFOF_01726,CDS,843,,3.4.19.5,,Isoaspartyl peptidase/L-asparaginase,3300025855_24
HDENMGOB_02091,CDS,1005,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025740_18
CICHDAIN_00745,CDS,978,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025393_6
ADNLKCOC_03619,CDS,885,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300029233_1
GMOBJHEE_02536,CDS,924,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025631_7
BELEPGMD_01500,CDS,861,,3.4.19.5,COG1446,Isoaspartyl peptidase/L-asparaginase,3300014059_5
AHFEBCCF_00472,CDS,978,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025393_8
MIBALLGJ_00030,CDS,978,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025713_44
OPNNFHJG_01999,CDS,1005,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300029311_16
EDFIDEBO_01024,CDS,1077,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026289_18
GCBIDMGP_04655,CDS,948,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026283_5
JDCADHNK_00664,CDS,891,iaaA_1,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026282_18
JDCADHNK_02556,CDS,1062,iaaA_2,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026282_18
BFHKKPGM_02027,CDS,948,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300013502_10
BNCBNEGH_02290,CDS,1077,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026288_19
CELGGOCB_02273,CDS,954,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026286_12
HKMPPMNI_01440,CDS,1083,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300002846_1
FDAKEFHN_01194,CDS,843,,3.4.19.5,,Isoaspartyl peptidase/L-asparaginase,3300026289_22
LBDKBLPE_03258,CDS,957,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300012020_6
CLFBHKCH_00229,CDS,813,iaaA_1,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026287_18
CLFBHKCH_02569,CDS,1062,iaaA_2,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026287_18
EIDKEEKN_04406,CDS,801,,3.4.19.5,,Isoaspartyl peptidase/L-asparaginase,3300025706_4
MEALAJIB_00755,CDS,930,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025605_43
GOFHMDJM_01005,CDS,966,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026516_50
KHPPJECO_00596,CDS,1005,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025677_27
ALJBLPEH_00237,CDS,1059,iaaA_1,3.4.19.5,COG1446,Isoaspartyl peptidase,3300029948_2
ALJBLPEH_01913,CDS,933,iaaA_2,3.4.19.5,COG1446,Isoaspartyl peptidase,3300029948_2
CMFPIOOD_00135,CDS,948,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300009772_7
AADMAPCH_01027,CDS,1005,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025682_27
CGKICAHN_01041,CDS,1005,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025858_10
DBLEEJNG_01237,CDS,1026,iaaA_1,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026516_24
DBLEEJNG_02010,CDS,975,iaaA_2,3.4.19.5,COG1446,Isoaspartyl peptidase,3300026516_24
MMKNNAAI_01525,CDS,978,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300029446_11
GAAJEEDJ_01024,CDS,852,,3.4.19.5,COG1446,Isoaspartyl peptidase/L-asparaginase,3300027673_20
DFMKAKNK_00192,CDS,930,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025471_32
PLDIBHGP_01793,CDS,921,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025859_15
CMIHAFMG_00700,CDS,924,iaaA,3.4.19.5,COG1446,Isoaspartyl peptidase,3300025784_29
