genome_id,metagenome_id,genome_length,num_contigs,n50,num_16s,num_5s,num_23s,num_trna,completeness,contamination,quality_score,mimag_quality,otu_id,ecosystem,ecosystem_category,ecosystem_type,habitat,longitude,latitude
3300025847_116,3300025847,1063733,1,1063733,0,0,0,34,64.12,0,64.12,MQ,OTU-2241,d__Bacteria;p__Caldisericota;c__Caldisericia;o__;f__;g__;s__,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_38,3300025847,2362664,239,14636,0,1,0,36,97.26,1.72,88.66,MQ,OTU-1037,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Mesotoga;s__Mesotoga prima,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_33,3300025847,2576253,290,11517,0,2,0,36,94.02,2.88,79.62,MQ,OTU-1040,d__Bacteria;p__Thermotogota;c__Thermotogae;o__;f__;g__;s__,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_32,3300025847,2633485,280,11780,1,2,2,31,81.28,0.25,80.03,MQ,OTU-6763,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__BACL12;g__UBA11426;s__UBA11426 sp1,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_31,3300025847,2688535,464,5952,0,2,0,25,74.16,3.44,56.96,MQ,OTU-10004,d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__UBA5550;s__,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_30,3300025847,2755459,242,14401,0,1,1,40,93.69,1.62,85.59,MQ,OTU-9516,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__Tetrasphaera elongata,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_36,3300025847,2429332,180,25333,3,2,1,43,89.24,2.05,78.99,MQ,OTU-4952,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonas_B;s__,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_35,3300025847,2381936,283,10075,0,0,0,45,87.53,4.86,63.23,MQ,OTU-11501,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA1368;s__GCA_002305965.1,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_34,3300025847,2546707,430,6207,1,1,1,28,65.18,1.66,56.88,MQ,OTU-623,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
3300025847_19,3300025847,3379379,261,18558,1,2,1,39,93.4,1.79,84.45,HQ,OTU-10922,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__6E;s__,Wastewater,Anaerobic digestor,Anaerobic digestor sludge,114.17,22.28
