gene_id	gene_name	ac1_gene_length	ac_1	ac_2	ac_3	pr_1	pr_2	pr_3	prkm_pr_1	prkm_pr_2	prkm_pr_3	prkm_ac_1	prkm_ac_2	prkm_ac_3
AccIB_00001	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00002	CRISPR-associated endonuclease Cas1	0	0	0.177	0.464	0	0.462	0.302	0	0.322978754700799	0.252150366925665	0	0.141276844025106	0.437771433679283
AccIB_00003	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00004	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00005	CRISPR system Cascade subunit CasC	0	0	0	0	0	0	0.11	0	0	0.0918428488802093	0	0	0
AccIB_00006	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00007	hypothetical protein	0	0	0.476	0	0.167	0	0	0.298181081121038	0	0	0	0.379930947773731	0
AccIB_00008	CRISPR-associated endonuclease/helicase Cas3	781	0.251	0.355	0.143	0	0.082	0	0	0.0573252335183235	0	0.183158734593956	0.283351862310241	0.134916627189951
AccIB_00009	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00010	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00011	Magnesium transport protein CorA	1250	0.925	2.596	0.366	0.303	1.991	1.629	0.541011183111824	1.39188463335344	1.36010909841692	0.674987368523543	2.07206037903489	0.345311087772883
AccIB_00012	Glutamate-1-semialdehyde 2,1-aminomutase	1206	1.004	2.458	1.306	0.904	3.832	1.797	1.6141059720564	2.67890603466117	1.50037817670669	0.732634938375824	1.9619123311509	1.2321756301404
AccIB_00013	Thiamine-phosphate synthase	683	1.874	0.9	1.713	0.332	2.634	1.297	0.592791131330447	1.84139835472273	1.08291068179665	1.36748792282499	0.718356834025962	1.61616910752718
AccIB_00014	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	841	1.036	1.725	0.546	0.444	1.212	0.496	0.792768862381682	0.847294914929367	0.414127754950762	0.755985852746368	1.37685059854976	0.515136212907087
AccIB_00015	Rubredoxin-2	0	0	1.61	0	0.874	3.122	1.453	1.56054050838196	2.18255340297812	1.21316054020858	0	1.28506055864644	0
AccIB_00016	Protein PatA	266	5.068	3.05	5.291	4.174	8.939	11.566	7.45274151257014	6.2491495417109	9.6568580922591	3.69820106343494	2.43443149308798	4.9919152060282
AccIB_00017	Response regulator PleD	355	5.958	5.373	4.803	4.037	10.175	10.088	7.20812589512354	7.11322257376759	8.42282417730501	4.3476483693657	4.28859029913499	4.53150042233103
AccIB_00018	hypothetical protein	492	1.488	2.943	1.366	2.359	8.182	5.32	4.21203096026664	5.71993976398687	4.44185414584285	1.08581751823031	2.3490268472649	1.28878400518513
AccIB_00019	Methyl-accepting chemotaxis protein McpG	2123	2.294	2.744	1.08	0.708	4.352	2.445	1.26414494271674	3.04243190575298	2.04141605011011	1.67396867393839	2.19019016951916	1.01895075080523
AccIB_00020	Chemotaxis protein CheA	5404	2.655	2.868	1.707	1.373	4.067	2.654	2.45151272083344	2.84319176486612	2.2159174629825	1.93739617668109	2.28916377776273	1.61050827002271
AccIB_00021	Deoxyribodipyrimidine photo-lyase	1447	1.061	0.845	1.269	0.58	1.41	1.384	1.03559896437247	0.98571438122971	1.155550025911	0.774228754598356	0.674457249724375	1.19726713219614
AccIB_00022	hypothetical protein	543	7.74	3.974	4.416	4.18	6.6	3.909	7.46345460530502	4.61398221001141	3.26376087520671	5.64800241337538	3.17194450935464	4.16637640329249
AccIB_00023	Putative pre-16S rRNA nuclease	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00024	Bifunctional protein PyrR	472	1.301	0	0	0.466	2.784	3.278	0.832050202409603	1.94626158676845	2.73691689663024	0.949360612377437	0	0
AccIB_00025	Aspartate carbamoyltransferase	958	0.832	1.216	0.596	0	1.75	0.46	0	1.22340437386666	0.384070095317239	0.607123773634149	0.970579900195077	0.5623098587777
AccIB_00026	Dihydroorotase-like protein	862	1.182	0.72	0.273	0.322	2.025	0.853	0.574935976772301	1.41565363261714	0.712199546316532	0.862524399561976	0.57468546722077	0.257568106453544
AccIB_00027	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00028	hypothetical protein	538	0.719	1.077	1.03	0.914	2.465	0	1.63196112661454	1.7232524466179	0	0.524665857263165	0.859633678051068	0.971777104934616
AccIB_00029	Pyrroline-5-carboxylate reductase	808	2.075	1.98	0.287	1.618	2.346	0.934	2.88896400750802	1.64006094919496	0.779829280491959	1.51416085371498	1.58038503485712	0.270776727297315
AccIB_00030	Pyridoxal phosphate homeostasis protein	218	0.908	1.176	0	1.024	3.069	0.188	1.82836782675415	2.1455017276553	0.156967778086176	0.662582195264192	0.938652929793923	0
AccIB_00031	Twitching mobility protein	881	2.779	3.324	1.702	1.721	4.377	2.888	3.07287209945693	3.05990911109393	2.4112922506004	2.02788096986695	2.65313124033589	1.60579090543565
AccIB_00032	Twitching mobility protein	787	3.601	5.616	1.537	2.6	4.893	3.259	4.64234018511796	3.42063862933118	2.72105313182365	2.6277075827603	4.482546644322	1.45011787406263
AccIB_00033	Ribosomal RNA large subunit methyltransferase L	1019	0.279	0.632	0	0.285	0.611	0.565	0.508871904907161	0.427142898532874	0.471738269248348	0.203590784668182	0.504446132338231	0
AccIB_00034	hypothetical protein	350	1.057	0	0	1.301	1.38	1.064	2.32295560801479	0.964741734820567	0.88837082916857	0.771309890302038	0	0
AccIB_00035	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0
AccIB_00036	hypothetical protein	724	1.663	2.073	0.383	1.213	1.904	1.191	2.16583024790311	1.33106395876693	0.99440757287572	1.21351783119422	1.6546152410398	0.361350127368891
AccIB_00037	CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase	907	0.678	0.32	0.771	0.624	1.439	0	1.11416164442831	1.00598793942521	0	0.494747498225905	0.255415763209231	0.727417619324843
