ortho_cluster_id,ortho_cluster_members,i_val,mmseqs_cluster_representative,orf_id,mmseqs_cluster_id
0,GCF_900114795_02375,1.2,GCF_900114795_02375,GCF_900114795_02375,362
0,GCF_900114795_02375,1.4,GCF_900114795_02375,GCF_900114795_02375,362
0,GCF_900114795_02375,2.0,GCF_900114795_02375,GCF_900114795_02375,362
0,GCF_900114795_02375,4.0,GCF_900114795_02375,GCF_900114795_02375,362
0,GCF_900114795_02375,6.0,GCF_900114795_02375,GCF_900114795_02375,362
0,GCF_001007935_03096,1.2,GCF_001007935_03096,GCF_001007935_03096,223
0,GCF_001007935_03096,1.4,GCF_001007935_03096,GCF_001007935_03096,223
0,GCF_001007935_03096,2.0,GCF_001007935_03096,GCF_001007935_03096,223
0,GCF_001007935_03096,4.0,GCF_001007935_03096,GCF_001007935_03096,223
0,GCF_001007935_03096,6.0,GCF_001007935_03096,GCF_001007935_03096,223
0,GCF_000009145_00933,1.2,GCF_000009145_00933,GCF_000009145_00933,97
0,GCF_000009145_00933,1.4,GCF_000009145_00933,GCF_000009145_00933,97
0,GCF_000009145_00933,2.0,GCF_000009145_00933,GCF_000009145_00933,97
0,GCF_000009145_00933,4.0,GCF_000009145_00933,GCF_000009145_00933,97
0,GCF_000009145_00933,6.0,GCF_000009145_00933,GCF_000009145_00933,97
0,GCF_009833085_00395,1.2,GCF_009833085_00395,GCF_009833085_00395,332
0,GCF_009833085_00395,1.4,GCF_009833085_00395,GCF_009833085_00395,332
0,GCF_009833085_00395,2.0,GCF_009833085_00395,GCF_009833085_00395,332
0,GCF_009833085_00395,4.0,GCF_009833085_00395,GCF_009833085_00395,332
0,GCF_009833085_00395,6.0,GCF_009833085_00395,GCF_009833085_00395,332
0,GCF_000014765_01409,1.2,GCF_000014765_01409,GCF_000014765_01409,122
0,GCF_000014765_01409,1.4,GCF_000014765_01409,GCF_000014765_01409,122
0,GCF_000014765_01409,2.0,GCF_000014765_01409,GCF_000014765_01409,122
0,GCF_000014765_01409,4.0,GCF_000014765_01409,GCF_000014765_01409,122
0,GCF_000014765_01409,6.0,GCF_000014765_01409,GCF_000014765_01409,122
0,GCF_900103035_02218,1.2,GCF_900103035_02218,GCF_900103035_02218,356
0,GCF_900103035_02218,1.4,GCF_900103035_02218,GCF_900103035_02218,356
0,GCF_900103035_02218,2.0,GCF_900103035_02218,GCF_900103035_02218,356
0,GCF_900103035_02218,4.0,GCF_900103035_02218,GCF_900103035_02218,356
0,GCF_900103035_02218,6.0,GCF_900103035_02218,GCF_900103035_02218,356
0,GCA_016709335_02022,1.2,GCA_016709335_02022,GCA_016709335_02022,20
0,GCA_016709335_02022,1.4,GCA_016709335_02022,GCA_016709335_02022,20
0,GCA_016709335_02022,2.0,GCA_016709335_02022,GCA_016709335_02022,20
0,GCA_016709335_02022,4.0,GCA_016709335_02022,GCA_016709335_02022,20
0,GCA_016709335_02022,6.0,GCA_016709335_02022,GCA_016709335_02022,20
0,GCF_000355765_02778,1.2,GCF_000355765_02778,GCF_000355765_02778,192
0,GCF_000355765_02778,1.4,GCF_000355765_02778,GCF_000355765_02778,192
0,GCF_000355765_02778,2.0,GCF_000355765_02778,GCF_000355765_02778,192
0,GCF_000355765_02778,4.0,GCF_000355765_02778,GCF_000355765_02778,192
0,GCF_000355765_02778,6.0,GCF_000355765_02778,GCF_000355765_02778,192
0,GCF_001455205_00695,1.2,GCF_001455205_00695,GCF_001455205_00695,261
0,GCF_001455205_00695,1.4,GCF_001455205_00695,GCF_001455205_00695,261
0,GCF_001455205_00695,2.0,GCF_001455205_00695,GCF_001455205_00695,261
0,GCF_001455205_00695,4.0,GCF_001455205_00695,GCF_001455205_00695,261
0,GCF_001455205_00695,6.0,GCF_001455205_00695,GCF_001455205_00695,261
0,GCF_000619905_02141,1.2,GCF_000619905_02141,GCF_000619905_02141,213
0,GCF_000619905_02141,1.4,GCF_000619905_02141,GCF_000619905_02141,213
0,GCF_000619905_02141,2.0,GCF_000619905_02141,GCF_000619905_02141,213
0,GCF_000619905_02141,4.0,GCF_000619905_02141,GCF_000619905_02141,213
0,GCF_000619905_02141,6.0,GCF_000619905_02141,GCF_000619905_02141,213
0,GCA_900089945_02989,1.2,GCA_900089945_02989,GCA_900089945_02989,88
0,GCA_900089945_02989,1.4,GCA_900089945_02989,GCA_900089945_02989,88
0,GCA_900089945_02989,2.0,GCA_900089945_02989,GCA_900089945_02989,88
0,GCA_900089945_02989,4.0,GCA_900089945_02989,GCA_900089945_02989,88
0,GCA_900089945_02989,6.0,GCA_900089945_02989,GCA_900089945_02989,88
0,GCF_000196355_02257,1.2,GCF_000196355_02257,GCF_000196355_02257,145
0,GCF_000196355_02257,1.4,GCF_000196355_02257,GCF_000196355_02257,145
0,GCF_000196355_02257,2.0,GCF_000196355_02257,GCF_000196355_02257,145
0,GCF_000196355_02257,4.0,GCF_000196355_02257,GCF_000196355_02257,145
0,GCF_000196355_02257,6.0,GCF_000196355_02257,GCF_000196355_02257,145
0,GCA_017592745_03831,1.2,GCA_017592745_03831,GCA_017592745_03831,63
0,GCA_017592745_03831,1.4,GCA_017592745_03831,GCA_017592745_03831,63
0,GCA_017592745_03831,2.0,GCA_017592745_03831,GCA_017592745_03831,63
0,GCA_017592745_03831,4.0,GCA_017592745_03831,GCA_017592745_03831,63
0,GCA_017592745_03831,6.0,GCA_017592745_03831,GCA_017592745_03831,63
0,GCF_005889575_01189,1.2,GCF_005889575_01189,GCF_005889575_01189,286
0,GCF_005889575_01189,1.2,GCF_005889575_01189,GCA_017592725_00755,286
0,GCF_005889575_01189,1.4,GCF_005889575_01189,GCF_005889575_01189,286
0,GCF_005889575_01189,1.4,GCF_005889575_01189,GCA_017592725_00755,286
0,GCF_005889575_01189,2.0,GCF_005889575_01189,GCF_005889575_01189,286
0,GCF_005889575_01189,2.0,GCF_005889575_01189,GCA_017592725_00755,286
0,GCF_005889575_01189,4.0,GCF_005889575_01189,GCF_005889575_01189,286
0,GCF_005889575_01189,4.0,GCF_005889575_01189,GCA_017592725_00755,286
0,GCF_005889575_01189,6.0,GCF_005889575_01189,GCF_005889575_01189,286
0,GCF_005889575_01189,6.0,GCF_005889575_01189,GCA_017592725_00755,286
0,GCA_017592785_00844,1.2,GCA_017592785_00844,GCA_017592785_00844,78
0,GCA_017592785_00844,1.2,GCA_017592785_00844,GCA_009467855_02130,78
0,GCA_017592785_00844,1.4,GCA_017592785_00844,GCA_017592785_00844,78
0,GCA_017592785_00844,1.4,GCA_017592785_00844,GCA_009467855_02130,78
0,GCA_017592785_00844,2.0,GCA_017592785_00844,GCA_017592785_00844,78
0,GCA_017592785_00844,2.0,GCA_017592785_00844,GCA_009467855_02130,78
0,GCA_017592785_00844,4.0,GCA_017592785_00844,GCA_017592785_00844,78
0,GCA_017592785_00844,4.0,GCA_017592785_00844,GCA_009467855_02130,78
0,GCA_017592785_00844,6.0,GCA_017592785_00844,GCA_017592785_00844,78
0,GCA_017592785_00844,6.0,GCA_017592785_00844,GCA_009467855_02130,78
0,GCF_900089955_02455,1.2,GCF_900089955_02455,GCF_900089955_02455,344
0,GCF_900089955_02455,1.4,GCF_900089955_02455,GCF_900089955_02455,344
0,GCF_900089955_02455,2.0,GCF_900089955_02455,GCF_900089955_02455,344
0,GCF_900089955_02455,4.0,GCF_900089955_02455,GCF_900089955_02455,344
0,GCF_900089955_02455,6.0,GCF_900089955_02455,GCF_900089955_02455,344
0,GCA_016714975_00291,1.2,GCA_016714975_00291,GCA_016714975_00291,27
0,GCA_016714975_00291,1.4,GCA_016714975_00291,GCA_016714975_00291,27
0,GCA_016714975_00291,2.0,GCA_016714975_00291,GCA_016714975_00291,27
0,GCA_016714975_00291,4.0,GCA_016714975_00291,GCA_016714975_00291,27
0,GCA_016714975_00291,6.0,GCA_016714975_00291,GCA_016714975_00291,27
0,GCF_009469765_00433,1.2,GCF_009469765_00433,GCF_009469765_00433,311
0,GCF_009469765_00433,1.2,GCF_009469765_00433,GCF_001551835_02806,311
0,GCF_009469765_00433,1.4,GCF_009469765_00433,GCF_009469765_00433,311
0,GCF_009469765_00433,1.4,GCF_009469765_00433,GCF_001551835_02806,311
0,GCF_009469765_00433,2.0,GCF_009469765_00433,GCF_009469765_00433,311
0,GCF_009469765_00433,2.0,GCF_009469765_00433,GCF_001551835_02806,311
0,GCF_009469765_00433,4.0,GCF_009469765_00433,GCF_009469765_00433,311
0,GCF_009469765_00433,4.0,GCF_009469765_00433,GCF_001551835_02806,311
0,GCF_009469765_00433,6.0,GCF_009469765_00433,GCF_009469765_00433,311
0,GCF_009469765_00433,6.0,GCF_009469765_00433,GCF_001551835_02806,311
0,GCF_000519045_03415,1.2,GCF_000519045_03415,GCF_000519045_03415,199
0,GCF_000519045_03415,1.4,GCF_000519045_03415,GCF_000519045_03415,199
0,GCF_000519045_03415,2.0,GCF_000519045_03415,GCF_000519045_03415,199
0,GCF_000519045_03415,4.0,GCF_000519045_03415,GCF_000519045_03415,199
0,GCF_000519045_03415,6.0,GCF_000519045_03415,GCF_000519045_03415,199
0,GCA_017592775_02243,1.2,GCA_017592775_02243,GCA_017592775_02243,74
0,GCA_017592775_02243,1.4,GCA_017592775_02243,GCA_017592775_02243,74
0,GCA_017592775_02243,2.0,GCA_017592775_02243,GCA_017592775_02243,74
0,GCA_017592775_02243,4.0,GCA_017592775_02243,GCA_017592775_02243,74
0,GCA_017592775_02243,6.0,GCA_017592775_02243,GCA_017592775_02243,74
0,GCA_016722705_01204,1.2,GCA_016722705_01204,GCA_016722705_01204,49
0,GCA_016722705_01204,1.4,GCA_016722705_01204,GCA_016722705_01204,49
0,GCA_016722705_01204,2.0,GCA_016722705_01204,GCA_016722705_01204,49
0,GCA_016722705_01204,4.0,GCA_016722705_01204,GCA_016722705_01204,49
0,GCA_016722705_01204,6.0,GCA_016722705_01204,GCA_016722705_01204,49
0,GCA_016721185_01981,1.2,GCA_016721185_01981,GCA_016721185_01981,40
0,GCA_016721185_01981,1.4,GCA_016721185_01981,GCA_016721185_01981,40
0,GCA_016721185_01981,2.0,GCA_016721185_01981,GCA_016721185_01981,40
0,GCA_016721185_01981,4.0,GCA_016721185_01981,GCA_016721185_01981,40
0,GCA_016721185_01981,6.0,GCA_016721185_01981,GCA_016721185_01981,40
0,GCF_003345255_00091,1.2,GCF_003345255_00091,GCF_003345255_00091,279
0,GCF_003345255_00091,1.4,GCF_003345255_00091,GCF_003345255_00091,279
0,GCF_003345255_00091,2.0,GCF_003345255_00091,GCF_003345255_00091,279
0,GCF_003345255_00091,4.0,GCF_003345255_00091,GCF_003345255_00091,279
0,GCF_003345255_00091,6.0,GCF_003345255_00091,GCF_003345255_00091,279
0,GCF_017368815_02305,1.2,GCF_017368815_02305,GCF_017368815_02305,340
0,GCF_017368815_02305,1.4,GCF_017368815_02305,GCF_017368815_02305,340
0,GCF_017368815_02305,2.0,GCF_017368815_02305,GCF_017368815_02305,340
0,GCF_017368815_02305,4.0,GCF_017368815_02305,GCF_017368815_02305,340
