gene_id	gene_name	ac1_gene_length	ac_1	ac_2	ac_3	pr_1	pr_2	pr_3	prkm_pr_1	prkm_pr_2	prkm_pr_3	prkm_ac_1	prkm_ac_2	prkm_ac_3
AccIA_00001	hypothetical protein	3475	5.273	5.993	6.525	6.905	9.207	6.565	12.3289842223998	6.43650518296591	5.48134820816885	3.84779285862124	4.78345834035288	6.15616078611492
AccIA_00002	Leucine dehydrogenase	1056	10.092	9.398	9.825	4.176	9.361	6.476	7.45631254348177	6.54416476786618	5.40703899407487	7.36429461961038	7.5012416957511	9.26962141357534
AccIA_00003	hypothetical protein	756	46.157	35.484	34.219	17.234	34.955	34.649	30.7715733655088	24.4366285077195	28.9296624622761	33.6815048312878	28.3224154428636	32.2846997609297
AccIA_00004	hypothetical protein	0	0	0	0	0	0.987	0	0	0.690000066860797	0	0	0	0
AccIA_00005	PPi-type phosphoenolpyruvate carboxykinase	2378	0.163	0.302	0.332	0.227	0.531	0.069	0.405312008469914	0.371215841441827	0.0576105142975858	0.118943720074959	0.241048626528712	0.313233008580866
AccIA_00006	tRNA-Gly(ccc)	0	0	0.822	0	0	0	0	0	0	0	0	0.656099241743712	0
AccIA_00007	hypothetical protein	357	69.812	47.552	50.036	29.204	45.196	48.748	52.1441933716096	31.5959909035872	40.7014108837495	50.9429385636385	37.9547824128917	47.2076108956392
AccIA_00008	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	1379	17.952	18.794	13.443	7.686	20.843	12.79	13.723471793391	14.5710956368588	10.6788185197989	13.0998629618753	15.0008870429821	12.6831064287729
AccIA_00009	PhoH-like protein	1031	19.861	25.022	23.74	7.676	29.961	21.597	13.7056166388329	20.9453819688109	18.0320909751444	14.4928909472931	19.9719163344418	22.3980470593668
AccIA_00010	Endoribonuclease YbeY	467	8.208	16.291	14.186	4.804	14.281	6.775	8.57761624973333	9.98367877896559	5.65668455603107	5.98950953604459	13.0030568701299	13.3841068064102
AccIA_00011	Magnesium and cobalt efflux protein CorC	814	6.6	15.299	8.174	3.903	14.323	12.005	6.96886682404438	10.0130404839384	10.0233945527901	4.81612608892474	12.2112680041813	7.71194762692771
AccIA_00012	Apolipoprotein N-acyltransferase	1534	1.57	2.435	1.742	0.582	4.632	2.009	1.0391699952841	3.23817660557164	1.67738439454855	1.14565423630482	1.94355432317024	1.64352982213214
AccIA_00013	Glycine--tRNA ligase alpha subunit	904	24.739	51.346	40.87	11.996	62.97	40.454	21.4190434079519	44.0215848127906	33.7764600781817	18.0524459566529	40.9830555554411	38.5597381346386
AccIA_00014	Glycine--tRNA ligase beta subunit	2071	25.365	40.349	26.608	9.541	44.457	31.646	17.0356029639271	31.0793647137087	26.4223526878464	18.5092482190267	32.2055332179039	25.1039273865051
AccIA_00015	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	502	21.671	36.745	30.325	10.467	31.569	26.048	18.6889902760114	22.0695158163409	21.7483866148336	15.813677041377	29.32891318476	28.6108162205264
AccIA_00016	1-acyl-sn-glycerol-3-phosphate acyltransferase	744	7.487	19.96	12.771	1.715	20.968	11.664	3.06215900672204	14.6584816635635	9.73868172126146	5.46338424663326	15.9315582301758	12.0490926282718
AccIA_00017	hypothetical protein	757	9.536	21.509	11.719	3.864	24.577	18.681	6.89923172126761	17.1814910265834	15.597420544829	6.95857248242217	17.1679301589605	11.0565591191541
AccIA_00018	putative lipoprotein YiaD	666	19.613	23.617	18.315	7.43	27.018	17.205	13.2663798367025	18.887965356074	14.3650564998545	14.3119213609214	18.8504814991013	17.2797064824053
AccIA_00019	Lactoylglutathione lyase	385	53.761	50.392	53.891	22.13	51.801	54.36	39.5134570371771	36.2134685546668	45.3870660466198	39.2302658585883	40.2215973113736	50.8446989922635
AccIA_00020	GTP pyrophosphokinase rsh	493	13.68	13.322	19.937	6.309	19.724	15.079	11.2648170107343	13.7888159257977	12.5899847114971	9.98251589340764	10.6332774921043	18.810019554448
AccIA_00021	Leucine efflux protein	619	10.509	7.403	11.657	5.245	7.76	9.041	9.36502856574757	5.42492453783159	7.54864724296338	7.66858622250153	5.90888404699355	10.9980637982746
AccIA_00022	putative ABC transporter ATP-binding protein YbiT	1623	12.131	20.237	16.883	4.589	23.906	19.059	8.19373042673319	16.7124028352322	15.913025970981	8.85218569465849	16.1526525002038	15.928653264671
AccIA_00023	hypothetical protein	596	18.23	12.791	19.127	7.567	18.511	12.866	13.5109954541491	12.9408219226547	10.7422735790252	13.3027240304694	10.209446960029	18.0458064913441
AccIA_00024	putative signaling protein	1879	7.392	3.77	4.242	2.466	4.559	3.276	4.4030811140388	3.18714316597606	2.7352470266506	5.39406121959571	3.00911696030875	4.00221211566276
AccIA_00025	Phosphoserine phosphatase ThrH	602	14.802	28.472	17.901	7.793	26.625	18.248	13.9145219471632	18.6132236881142	15.2358936942369	10.8012573285248	22.7256175315413	16.8891086945967
AccIA_00026	Formyltetrahydrofolate deformylase	846	7.42	20.273	10.94	3.227	19.093	11.988	5.76185837591371	13.3476912629921	10.0092006579632	5.41449326966994	16.1813867735648	10.32159371649
AccIA_00027	putative ABC transporter ATP-binding protein YheS	1935	2.063	7.407	5.234	0.664	11.109	4.91	1.18558226266089	7.76617096530556	4.09953080001661	1.50540426082602	5.91207674403367	4.93813724973571
AccIA_00028	Bacteriohemerythrin	422	6.396	11.005	4.981	8.918	23.723	4.054	15.9232268349546	16.5844696921365	3.38482644873062	4.66726400981252	8.78390773161746	4.69943860163041
AccIA_00029	putative signaling protein	1750	3.583	8.444	5.39	1.877	8.426	4.526	3.351412510564	5.89051728811456	3.7789157639257	2.61457269342687	6.73978345168358	5.08531902485202
AccIA_00030	Iron(3+)-hydroxamate import ATP-binding protein FhuC	747	12.269	27.423	26.267	5.51	31.87	19.597	9.83819016153844	22.279941368646	16.3622209955042	8.95288651288146	21.8883327327711	24.7822031216675
AccIA_00031	Hemin transport system permease protein HmuU	962	18.911	33.044	27.69	5.816	39.492	27.983	10.3845578910177	27.6083917329955	23.3639858201354	13.7996606769175	26.3748702483932	26.1247650831451
AccIA_00032	Vitamin B12 transporter BtuB	1875	72.111	126.785	87.346	33.741	158.917	100.71	60.2450769946404	111.097001646725	84.0863028247807	52.6205558179473	101.196523557757	82.4085854442902
AccIA_00033	Cobalamin	210	72.133	115.457	91.619	22.667	100.69	70.3	40.4722788369495	70.3911922312195	58.6959297843519	52.636609571577	92.1548055401505	86.4400452203927
AccIA_00034	hypothetical protein	201	75.697	76.771	59.935	38.463	76.395	60.144	68.6762809769969	53.406844080882	50.2163300277391	55.2373176595964	61.2766361166746	56.5470493051031
AccIA_00035	Cell division protein ZapA	333	88.003	84.825	74.928	32.967	79.136	86.16	58.8630880318399	55.323044874464	71.9379987228985	64.2172036672188	67.7051316069469	70.6925387558649
AccIA_00036	hypothetical protein	249	87.337	47.538	79.361	47.783	63.189	103.201	85.317285025189	44.1746851315774	86.1661258844225	63.7312127618818	37.9436079732513	74.8749541987534
AccIA_00037	Periplasmic nitrate reductase	2525	140.731	79.834	129.249	82.327	105.345	157.768	146.996130930848	73.6454478657048	131.726023473935	102.693672821283	63.7214438751429	121.942931102616
AccIA_00038	Ferredoxin-type protein NapG	938	23.829	9.959	20.666	8.355	17.424	21.36	14.917981633331	12.1809130344301	17.834211382557	17.3884043292406	7.94901745562728	19.4978113112415
AccIA_00039	Ferredoxin-type protein NapH	898	16.814	9.231	12.615	5.556	13.07	15.766	9.92032387250591	9.13708295224986	13.1635850495034	12.2694460695728	7.36794659432628	11.9019108531555
AccIA_00040	Periplasmic nitrate reductase, electron transfer subunit	468	56.169	36.857	73.203	25.609	49.724	79.402	45.7252653079561	34.7614623349405	66.2955080616943	40.9874221649718	29.4183087018832	69.0650479733288
