locus_tag	ftype	length_bp	gene	EC_number	COG	product
BIPKCHJG_00001	CDS	762				hypothetical protein
BIPKCHJG_00001	gene	762				
BIPKCHJG_00002	CDS	1368	rip1	3.4.24.-		Zinc metalloprotease Rip1
BIPKCHJG_00002	gene	1368	rip1			
BIPKCHJG_00003	CDS	969				hypothetical protein
BIPKCHJG_00003	gene	969				
BIPKCHJG_00004	CDS	549				hypothetical protein
BIPKCHJG_00004	gene	549				
BIPKCHJG_00005	CDS	1176	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
BIPKCHJG_00005	gene	1176	dxr			
BIPKCHJG_00006	CDS	357				hypothetical protein
BIPKCHJG_00006	gene	357				
BIPKCHJG_00007	CDS	486		3.1.27.3		Guanyl-specific ribonuclease St
BIPKCHJG_00007	gene	486				
BIPKCHJG_00008	CDS	1236				hypothetical protein
BIPKCHJG_00008	gene	1236				
BIPKCHJG_00009	CDS	696				hypothetical protein
BIPKCHJG_00009	gene	696				
BIPKCHJG_00010	CDS	1464	sad	1.2.1.16		Succinate-semialdehyde dehydrogenase
BIPKCHJG_00010	gene	1464	sad			
BIPKCHJG_00011	CDS	1059	pah	3.5.3.22	COG0010	Proclavaminate amidinohydrolase
BIPKCHJG_00011	gene	1059	pah			
BIPKCHJG_00012	CDS	1299		1.5.1.43	COG1748	Carboxynorspermidine synthase
BIPKCHJG_00012	gene	1299				
BIPKCHJG_00013	CDS	864	ydcV			Inner membrane ABC transporter permease protein YdcV
BIPKCHJG_00013	gene	864	ydcV			
BIPKCHJG_00014	CDS	909	potH		COG1176	Putrescine transport system permease protein PotH
BIPKCHJG_00014	gene	909	potH			
BIPKCHJG_00015	CDS	1167	potA_1	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
BIPKCHJG_00015	gene	1167	potA_1			
BIPKCHJG_00016	CDS	1236	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
BIPKCHJG_00016	gene	1236	potD			
BIPKCHJG_00017	CDS	1446	prr_1	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
BIPKCHJG_00017	gene	1446	prr_1			
BIPKCHJG_00018	CDS	477	asnC_1		COG1522	Regulatory protein AsnC
BIPKCHJG_00018	gene	477	asnC_1			
BIPKCHJG_00019	CDS	1401		2.6.1.-	COG0161	putative aminotransferase
BIPKCHJG_00019	gene	1401				
BIPKCHJG_00020	CDS	1272	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
BIPKCHJG_00020	gene	1272	puuB			
BIPKCHJG_00021	CDS	546				hypothetical protein
BIPKCHJG_00021	gene	546				
BIPKCHJG_00022	CDS	270				hypothetical protein
BIPKCHJG_00022	gene	270				
BIPKCHJG_00023	CDS	1206				hypothetical protein
BIPKCHJG_00023	gene	1206				
BIPKCHJG_00024	CDS	1119				hypothetical protein
BIPKCHJG_00024	gene	1119				
BIPKCHJG_00025	CDS	891		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
BIPKCHJG_00025	gene	891				
BIPKCHJG_00026	CDS	1200				hypothetical protein
BIPKCHJG_00026	gene	1200				
BIPKCHJG_00027	CDS	987	viuB		COG2375	Vibriobactin utilization protein ViuB
BIPKCHJG_00027	gene	987	viuB			
BIPKCHJG_00028	CDS	855	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
BIPKCHJG_00028	gene	855	yusV			
BIPKCHJG_00029	CDS	1044	yfhA		COG0609	putative siderophore transport system permease protein YfhA
BIPKCHJG_00029	gene	1044	yfhA			
BIPKCHJG_00030	CDS	990	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
BIPKCHJG_00030	gene	990	yfiZ			
BIPKCHJG_00031	CDS	1056	yfmC		COG4594	Fe(3+)-citrate-binding protein YfmC
BIPKCHJG_00031	gene	1056	yfmC			
BIPKCHJG_00032	CDS	1407	glyQS	6.1.1.14	COG0423	Glycine--tRNA ligase
BIPKCHJG_00032	gene	1407	glyQS			
BIPKCHJG_00033	CDS	1227	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
BIPKCHJG_00033	gene	1227	rlmN			
BIPKCHJG_00034	CDS	879	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
BIPKCHJG_00034	gene	879	cdsA			
BIPKCHJG_00035	CDS	558	frr		COG0233	Ribosome-recycling factor
BIPKCHJG_00035	gene	558	frr			
BIPKCHJG_00036	CDS	768	pyrH	2.7.4.22	COG0528	Uridylate kinase
BIPKCHJG_00036	gene	768	pyrH			
BIPKCHJG_00037	CDS	336				hypothetical protein
BIPKCHJG_00037	gene	336				
BIPKCHJG_00038	CDS	537				hypothetical protein
BIPKCHJG_00038	gene	537				
BIPKCHJG_00039	CDS	375				hypothetical protein
BIPKCHJG_00039	gene	375				
BIPKCHJG_00040	CDS	639				hypothetical protein
BIPKCHJG_00040	gene	639				
BIPKCHJG_00041	CDS	156				hypothetical protein
BIPKCHJG_00041	gene	156				
BIPKCHJG_00042	CDS	828	tsf		COG0264	Elongation factor Ts
BIPKCHJG_00042	gene	828	tsf			
BIPKCHJG_00043	CDS	900	rpsB		COG0052	30S ribosomal protein S2
BIPKCHJG_00043	gene	900	rpsB			
BIPKCHJG_00044	CDS	843	end	3.1.21.2	COG0648	putative endonuclease 4
BIPKCHJG_00044	gene	843	end			
BIPKCHJG_00045	CDS	588	nlpD			Murein hydrolase activator NlpD
BIPKCHJG_00045	gene	588	nlpD			
BIPKCHJG_00046	CDS	1188	dapC	2.6.1.17		putative N-succinyldiaminopimelate aminotransferase DapC
BIPKCHJG_00046	gene	1188	dapC			
BIPKCHJG_00047	CDS	558				hypothetical protein
BIPKCHJG_00047	gene	558				
BIPKCHJG_00048	CDS	966	xerC_1		COG0582	Tyrosine recombinase XerC
BIPKCHJG_00048	gene	966	xerC_1			
BIPKCHJG_00049	CDS	1113	dprA_1		COG0758	Putative DNA processing protein DprA
BIPKCHJG_00049	gene	1113	dprA_1			
BIPKCHJG_00050	CDS	1551	comM		COG0606	Competence protein ComM
BIPKCHJG_00050	gene	1551	comM			
BIPKCHJG_00051	CDS	375				hypothetical protein
BIPKCHJG_00051	gene	375				
BIPKCHJG_00052	CDS	315				putative protein
BIPKCHJG_00052	gene	315				
BIPKCHJG_00053	CDS	756	rnhB	3.1.26.4	COG0164	Ribonuclease HII
BIPKCHJG_00053	gene	756	rnhB			
BIPKCHJG_00054	CDS	807	lepB_1	3.4.21.89	COG0681	Signal peptidase I
BIPKCHJG_00054	gene	807	lepB_1			
BIPKCHJG_00055	CDS	726	lepB_2	3.4.21.89	COG0681	Signal peptidase I
BIPKCHJG_00055	gene	726	lepB_2			
BIPKCHJG_00056	CDS	354	rplS		COG0335	50S ribosomal protein L19
BIPKCHJG_00056	gene	354	rplS			
BIPKCHJG_00057	CDS	828	fetB		COG0390	putative iron export permease protein FetB
BIPKCHJG_00057	gene	828	fetB			
BIPKCHJG_00058	CDS	1272	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
BIPKCHJG_00058	gene	1272	trmD			
BIPKCHJG_00059	CDS	606	rimM		COG0806	Ribosome maturation factor RimM
BIPKCHJG_00059	gene	606	rimM			
BIPKCHJG_00060	CDS	681	walR_1		COG0745	Transcriptional regulatory protein WalR
BIPKCHJG_00060	gene	681	walR_1			
BIPKCHJG_00061	CDS	2625	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
BIPKCHJG_00061	gene	2625	baeS			
BIPKCHJG_00062	CDS	249				hypothetical protein
BIPKCHJG_00062	gene	249				
BIPKCHJG_00063	CDS	513	rpsP		COG0228	30S ribosomal protein S16
BIPKCHJG_00063	gene	513	rpsP			
BIPKCHJG_00064	CDS	465			COG1959	Putative HTH-type transcriptional regulator
BIPKCHJG_00064	gene	465				
BIPKCHJG_00065	CDS	924				hypothetical protein
BIPKCHJG_00065	gene	924				
BIPKCHJG_00066	CDS	1077			COG1228	putative protein
BIPKCHJG_00066	gene	1077				
BIPKCHJG_00067	CDS	990				hypothetical protein
BIPKCHJG_00067	gene	990				
BIPKCHJG_00068	CDS	432	arsC1	2.8.4.2	COG0394	Arsenate-mycothiol transferase ArsC1
BIPKCHJG_00068	gene	432	arsC1			
BIPKCHJG_00069	CDS	1092	acr3		COG0798	Arsenical-resistance protein Acr3
BIPKCHJG_00069	gene	1092	acr3			
BIPKCHJG_00070	CDS	873	arsM	2.1.1.137		Arsenite methyltransferase
BIPKCHJG_00070	gene	873	arsM			
BIPKCHJG_00071	CDS	333	arsR1		COG0640	Arsenic resistance transcriptional regulator ArsR1
BIPKCHJG_00071	gene	333	arsR1			
BIPKCHJG_00072	CDS	813	ybfF	3.1.-.-	COG0596	Esterase YbfF
BIPKCHJG_00072	gene	813	ybfF			
BIPKCHJG_00073	CDS	1611	ffh		COG0541	Signal recognition particle protein
BIPKCHJG_00073	gene	1611	ffh			
BIPKCHJG_00074	CDS	2340	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
BIPKCHJG_00074	gene	2340	glnD			
BIPKCHJG_00075	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
BIPKCHJG_00075	gene	339	glnB			
BIPKCHJG_00076	CDS	1401	amt			Ammonia channel
BIPKCHJG_00076	gene	1401	amt			
BIPKCHJG_00077	CDS	426				hypothetical protein
BIPKCHJG_00077	gene	426				
BIPKCHJG_00078	CDS	855				hypothetical protein
BIPKCHJG_00078	gene	855				
BIPKCHJG_00079	CDS	468				hypothetical protein
BIPKCHJG_00079	gene	468				
BIPKCHJG_00080	CDS	1206	ftsY		COG0552	Signal recognition particle receptor FtsY
BIPKCHJG_00080	gene	1206	ftsY			
BIPKCHJG_00081	CDS	252				hypothetical protein
BIPKCHJG_00081	gene	252				
BIPKCHJG_00082	CDS	459				hypothetical protein
BIPKCHJG_00082	gene	459				
BIPKCHJG_00083	CDS	3549	smc		COG1196	Chromosome partition protein Smc
BIPKCHJG_00083	gene	3549	smc			
BIPKCHJG_00084	CDS	411	tyrA_1		COG0287	T-protein
BIPKCHJG_00084	gene	411	tyrA_1			
BIPKCHJG_00085	CDS	294	acyP	3.6.1.7	COG1254	Acylphosphatase
BIPKCHJG_00085	gene	294	acyP			
BIPKCHJG_00086	CDS	1914	oatA_1	2.3.1.-		O-acetyltransferase OatA
BIPKCHJG_00086	gene	1914	oatA_1			
BIPKCHJG_00087	CDS	1824				hypothetical protein
BIPKCHJG_00087	gene	1824				
BIPKCHJG_00088	CDS	234				hypothetical protein
BIPKCHJG_00088	gene	234				
BIPKCHJG_00089	CDS	399		2.3.1.-		Acetyltransferase
BIPKCHJG_00089	gene	399				
BIPKCHJG_00090	CDS	876	fpg1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase 1
BIPKCHJG_00090	gene	876	fpg1			
BIPKCHJG_00091	CDS	747	rnc	3.1.26.3	COG0571	Ribonuclease 3
BIPKCHJG_00091	gene	747	rnc			
BIPKCHJG_00092	CDS	195	rpmF			50S ribosomal protein L32
BIPKCHJG_00092	gene	195	rpmF			
BIPKCHJG_00093	CDS	588			COG1399	putative protein
BIPKCHJG_00093	gene	588				
BIPKCHJG_00094	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
BIPKCHJG_00094	gene	480	coaD			
BIPKCHJG_00095	CDS	612	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
BIPKCHJG_00095	gene	612	rsmD			
BIPKCHJG_00096	CDS	2163	recG	3.6.4.12		ATP-dependent DNA helicase RecG
BIPKCHJG_00096	gene	2163	recG			
BIPKCHJG_00097	CDS	195	rpmB		COG0227	50S ribosomal protein L28
BIPKCHJG_00097	gene	195	rpmB			
BIPKCHJG_00098	CDS	1050	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
BIPKCHJG_00098	gene	1050	thiL			
BIPKCHJG_00099	CDS	234				hypothetical protein
BIPKCHJG_00099	gene	234				
BIPKCHJG_00100	CDS	372				hypothetical protein
BIPKCHJG_00100	gene	372				
BIPKCHJG_00101	CDS	1131	ddl_1	6.3.2.4	COG1181	D-alanine--D-alanine ligase
BIPKCHJG_00101	gene	1131	ddl_1			
BIPKCHJG_00102	CDS	1080	metC	4.4.1.8	COG0626	Cystathionine beta-lyase
BIPKCHJG_00102	gene	1080	metC			
BIPKCHJG_00103	CDS	759	plsC_1	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
BIPKCHJG_00103	gene	759	plsC_1			
BIPKCHJG_00104	CDS	621	cofC	2.7.7.68	COG1920	2-phospho-L-lactate guanylyltransferase
BIPKCHJG_00104	gene	621	cofC			
BIPKCHJG_00105	CDS	222				hypothetical protein
BIPKCHJG_00105	gene	222				
BIPKCHJG_00106	CDS	573	hup			DNA-binding protein HU 
BIPKCHJG_00106	gene	573	hup			
BIPKCHJG_00107	CDS	594	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
BIPKCHJG_00107	gene	594	leuD			
BIPKCHJG_00108	CDS	1395	leuC	4.2.1.33		3-isopropylmalate dehydratase large subunit
BIPKCHJG_00108	gene	1395	leuC			
BIPKCHJG_00109	CDS	753	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
BIPKCHJG_00109	gene	753	rhmR			
BIPKCHJG_00110	tRNA	74				tRNA-Glu(ctc)
BIPKCHJG_00110	gene	74				
BIPKCHJG_00111	tRNA	73				tRNA-Gln(ctg)
BIPKCHJG_00111	gene	73				
BIPKCHJG_00112	CDS	549				hypothetical protein
BIPKCHJG_00112	gene	549				
BIPKCHJG_00113	CDS	1518	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
BIPKCHJG_00113	gene	1518	gltX			
