region_id,dbscan_label,order,representative_region,variable,value
GCF_000332235_02686,-1.0,2,representative,pident,99.425
GCF_000340785_01348,-1.0,2,member,pident,75.433
GCF_000046845_01132,-1.0,2,member,pident,39.729
GCF_000204075_01843,-1.0,2,member,pident,68.914
GCF_000011385_04410,-1.0,2,member,pident,56.571
GCF_001046875_00604,1.0,1,member,pident,43.686
GCF_001046855_01619,1.0,1,member,pident,44.344
GCF_009184895_02176,1.0,1,representative,pident,45.165
GCF_001050535_01444,1.0,1,member,pident,44.722
GCF_009707485_00855,1.0,1,member,pident,44.784
GCA_017592745_03832,0.0,0,member,pident,39.808
GCF_009833085_00395,0.0,0,member,pident,38.205
GCF_000009145_00933,0.0,0,member,pident,39.245
GCA_017592785_00845,0.0,0,member,pident,40.246
GCF_000014765_01409,0.0,0,member,pident,39.38
GCA_009467855_02131,0.0,0,member,pident,40.109
GCF_001455205_00694,0.0,0,member,pident,37.467
GCA_017592725_00754,0.0,0,member,pident,40.246
GCF_900089955_02456,0.0,0,member,pident,39.617
GCF_000355765_02778,0.0,0,member,pident,39.543
GCF_001007935_03096,0.0,0,member,pident,37.773
GCF_900114795_02375,0.0,0,member,pident,39.175
GCF_001551835_02806,0.0,0,member,pident,40.391
GCF_005889575_01190,0.0,0,member,pident,40.544
GCA_900089945_02989,0.0,0,member,pident,40.821
GCF_900103035_02218,0.0,0,representative,pident,40.206
GCA_016714975_00291,0.0,0,member,pident,39.036
GCF_009469765_00433,0.0,0,member,pident,40.852
GCF_000519045_03415,0.0,0,member,pident,40.206
GCF_003345255_00091,0.0,0,member,pident,39.908
GCF_017368815_02305,0.0,0,member,pident,38.198
GCA_017592775_02242,0.0,0,member,pident,41.04
GCA_016709335_02022,0.0,0,member,pident,39.453
GCF_000619905_02140,0.0,0,member,pident,39.107
GCA_016721185_01981,0.0,0,member,pident,40.643
GCA_016722705_01204,0.0,0,member,pident,39.15
GCA_009467885_00742,0.0,0,member,pident,39.841
GCA_009467885_02431,0.0,0,member,pident,39.836
GCF_000196355_02257,0.0,0,member,pident,39.13
GCF_000332235_02686,-1.0,2,representative,qcovs,99.0
GCF_000340785_01348,-1.0,2,member,qcovs,99.0
GCF_000046845_01132,-1.0,2,member,qcovs,99.0
GCF_000204075_01843,-1.0,2,member,qcovs,100.0
GCF_000011385_04410,-1.0,2,member,qcovs,100.0
GCF_001046875_00604,1.0,1,member,qcovs,98.0
GCF_001046855_01619,1.0,1,member,qcovs,98.0
GCF_009184895_02176,1.0,1,representative,qcovs,98.0
GCF_001050535_01444,1.0,1,member,qcovs,98.0
GCF_009707485_00855,1.0,1,member,qcovs,80.0
GCA_017592745_03832,0.0,0,member,qcovs,83.0
GCF_009833085_00395,0.0,0,member,qcovs,99.0
GCF_000009145_00933,0.0,0,member,qcovs,99.0
GCA_017592785_00845,0.0,0,member,qcovs,83.0
GCF_000014765_01409,0.0,0,member,qcovs,99.0
GCA_009467855_02131,0.0,0,member,qcovs,83.0
GCF_001455205_00694,0.0,0,member,qcovs,82.0
GCA_017592725_00754,0.0,0,member,qcovs,83.0
GCF_900089955_02456,0.0,0,member,qcovs,83.0
GCF_000355765_02778,0.0,0,member,qcovs,99.0
GCF_001007935_03096,0.0,0,member,qcovs,99.0
GCF_900114795_02375,0.0,0,member,qcovs,99.0
GCF_001551835_02806,0.0,0,member,qcovs,99.0
GCF_005889575_01190,0.0,0,member,qcovs,83.0
GCA_900089945_02989,0.0,0,member,qcovs,99.0
GCF_900103035_02218,0.0,0,representative,qcovs,99.0
GCA_016714975_00291,0.0,0,member,qcovs,99.0
GCF_009469765_00433,0.0,0,member,qcovs,99.0
GCF_000519045_03415,0.0,0,member,qcovs,99.0
GCF_003345255_00091,0.0,0,member,qcovs,99.0
GCF_017368815_02305,0.0,0,member,qcovs,99.0
GCA_017592775_02242,0.0,0,member,qcovs,82.0
GCA_016709335_02022,0.0,0,member,qcovs,99.0
GCF_000619905_02140,0.0,0,member,qcovs,82.0
GCA_016721185_01981,0.0,0,member,qcovs,99.0
GCA_016722705_01204,0.0,0,member,qcovs,99.0
GCA_009467885_00742,0.0,0,member,qcovs,85.0
GCA_009467885_02431,0.0,0,member,qcovs,83.0
GCF_000196355_02257,0.0,0,member,qcovs,99.0
