orf_id,ortho_cluster_id,ortho_cluster_members,i_val,mmseqs_cluster_representative,mmseqs_cluster_id
GCA_009467855_02128,45,GCA_009467855_02128,4.0,GCA_009467855_02128,0
GCA_009467855_02129,4,GCA_017592785_00843,4.0,GCA_017592785_00843,72
GCA_009467855_02130,0,GCA_017592785_00844,4.0,GCA_017592785_00844,73
GCA_009467855_02131,1,GCA_017592785_00845,4.0,GCA_017592785_00845,74
GCA_009467855_02132,2,GCA_009467855_02132,4.0,GCA_009467855_02132,1
GCA_009467855_02133,3,GCA_009467855_02133,4.0,GCA_009467855_02133,2
GCA_009467855_02134,5,GCA_009467855_02134,4.0,GCA_009467855_02134,3
GCA_009467855_02135,83,GCA_009467855_02135,4.0,GCA_009467855_02135,4
GCA_009467855_02136,89,GCA_009467855_02136,4.0,GCA_009467855_02136,5
GCA_009467855_02137,95,GCA_009467855_02137,4.0,GCA_009467855_02137,6
GCA_009467855_02138,101,GCA_009467855_02138,4.0,GCA_009467855_02138,7
GCA_009467855_02139,106,GCA_009467855_02139,4.0,GCA_009467855_02139,8
GCA_009467885_00740,18,GCA_009467885_00740,4.0,GCA_009467885_00740,9
GCA_009467885_00741,4,GCA_009467885_00741,4.0,GCA_009467885_00741,10
GCA_009467885_00742,0,GCA_009467885_00742,4.0,GCA_009467885_00742,11
GCA_009467885_02430,0,GCA_009467885_02430,4.0,GCA_009467885_02430,12
GCA_009467885_02431,1,GCA_009467885_02431,4.0,GCA_009467885_02431,13
GCA_009467885_02432,2,GCA_009467885_02432,4.0,GCA_009467885_02432,14
GCA_009467885_02434,5,GCA_009467885_02434,4.0,GCA_009467885_02434,15
GCA_016714975_00289,2,GCA_016714975_00289,4.0,GCA_016714975_00289,16
GCA_016714975_00290,1,GCA_016714975_00290,4.0,GCA_016714975_00290,17
GCA_016714975_00291,0,GCA_016714975_00291,4.0,GCA_016714975_00291,18
GCA_016714975_00292,148,GCA_016714975_00292,4.0,GCA_016714975_00292,19
GCA_016714975_00293,156,GCA_016714975_00293,4.0,GCA_016714975_00293,20
GCA_016714975_00294,33,GCA_016714975_00294,4.0,GCA_016714975_00294,21
GCA_016714975_00295,166,GCA_016714975_00295,4.0,GCA_016714975_00295,22
GCA_016714975_00296,38,GCA_016714975_00296,4.0,GCA_016714975_00296,23
GCA_016721185_01973,174,GCA_016721185_01973,4.0,GCA_016721185_01973,24
GCA_016721185_01974,179,GCA_016721185_01974,4.0,GCA_016721185_01974,25
GCA_016721185_01975,183,GCA_016721185_01975,4.0,GCA_016721185_01975,26
GCA_016721185_01976,188,GCA_016721185_01976,4.0,GCA_016721185_01976,27
GCA_016721185_01977,44,GCA_016721185_01977,4.0,GCA_016721185_01977,28
