locus_tag,ftype,length_bp,gene,EC_number,COG,product,bin
BLHLJHEN_01568,CDS,885,cphB,3.4.15.6,,Cyanophycinase,3300026283_14
JLKJLKMK_02200,CDS,867,cphB,3.4.15.6,,Cyanophycinase,3300026303_10
CAGNBKGH_00355,CDS,867,cphB_1,3.4.15.6,,Cyanophycinase,3300009704_10
CAGNBKGH_01620,CDS,870,cphB_2,3.4.15.6,,Cyanophycinase,3300009704_10
LEBKMLKN_00734,CDS,885,cphB,3.4.15.6,,Cyanophycinase,3300026286_14
JHOOENFI_03134,CDS,888,cphB,3.4.15.6,,Cyanophycinase,3300026516_18
DJCPEEIO_00657,CDS,849,cphB,3.4.15.6,,Cyanophycinase,3300026516_23
IBIDFEHA_01268,CDS,660,cphB,3.4.15.6,,Cyanophycinase,3300009540_22
ANBCNFJJ_00205,CDS,873,cphB,3.4.15.6,,Cyanophycinase,3300026284_11
HFNHALCK_00543,CDS,846,cphB,3.4.15.6,,Cyanophycinase,3300025867_13
MBNOJLMN_02093,CDS,873,cphB,3.4.15.6,,Cyanophycinase,3300026288_16
JDFLMFFP_01945,CDS,906,cphB,3.4.15.6,,Cyanophycinase,3300028622_10
DMABNEIM_00641,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300027786_11
GLLLIDEN_00802,CDS,885,cphB,3.4.15.6,,Cyanophycinase,3300026287_15
CJEACHFG_02515,CDS,753,cphB,3.4.15.6,,Cyanophycinase,3300026283_12
PNBIKIBE_03229,CDS,1347,cphE,3.4.15.6,,Cyanophycinase,3300025855_8
FONNAEDF_01232,CDS,876,cphB,3.4.15.6,,Cyanophycinase,3300025861_25
DMEMHIGD_00693,CDS,885,cphB,3.4.15.6,,Cyanophycinase,3300026288_21
CHIKDKBC_02354,CDS,900,cphB,3.4.15.6,,Cyanophycinase,3300025706_15
DDFLNHFH_03024,CDS,921,cphB,3.4.15.6,,Cyanophycinase,3300026299_3
GFNAJHAB_02502,CDS,873,cphB,3.4.15.6,,Cyanophycinase,3300023187_9
DDMLFKMA_01312,CDS,900,cphB,3.4.15.6,,Cyanophycinase,3300025715_15
CICHDAIN_00172,CDS,852,cphB,3.4.15.6,,Cyanophycinase,3300025393_6
BELEPGMD_01499,CDS,834,cphB,3.4.15.6,,Cyanophycinase,3300014059_5
DNDPEDHF_02098,CDS,882,cphB,3.4.15.6,,Cyanophycinase,3300025611_5
AHFEBCCF_00088,CDS,858,cphB,3.4.15.6,,Cyanophycinase,3300025393_8
BIJKDFHJ_00402,CDS,840,cphB,3.4.15.6,,Cyanophycinase,3300026286_16
EDFIDEBO_01609,CDS,753,cphB,3.4.15.6,,Cyanophycinase,3300026289_18
BFHKKPGM_01974,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300013502_10
MCCAACLN_02417,CDS,861,cphB,3.4.15.6,,Cyanophycinase,3300025686_20
BNCBNEGH_01944,CDS,753,cphB,3.4.15.6,,Cyanophycinase,3300026288_19
CELGGOCB_02274,CDS,876,cphB,3.4.15.6,,Cyanophycinase,3300026286_12
HDPEBOOM_01682,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300009769_10
CFFFJMIJ_01070,CDS,813,cphB,3.4.15.6,,Cyanophycinase,3300025683_37
FBKGCCOI_01270,CDS,867,cphB,3.4.15.6,,Cyanophycinase,3300026288_10
JIBPKCGE_01862,CDS,882,cphB,3.4.15.6,,Cyanophycinase,3300025702_6
CFNMMHKF_01056,CDS,714,cphB,3.4.15.6,,Cyanophycinase,3300026288_20
NODAAFDG_01465,CDS,906,cphB,3.4.15.6,,Cyanophycinase,3300028625_10
ALJBLPEH_01912,CDS,858,cphB,3.4.15.6,,Cyanophycinase,3300029948_2
MEHMNHCD_00859,CDS,813,cphB,3.4.15.6,,Cyanophycinase,3300025618_38
CGKICAHN_00271,CDS,906,cphB,3.4.15.6,,Cyanophycinase,3300025858_10
JENNICML_00139,CDS,705,cphB,3.4.15.6,,Cyanophycinase,3300009769_15
FIGOLPCK_01263,CDS,882,cphB,3.4.15.6,,Cyanophycinase,3300009772_9
PLDIBHGP_02521,CDS,861,cphB,3.4.15.6,,Cyanophycinase,3300025859_15
CMIHAFMG_00486,CDS,876,cphB,3.4.15.6,,Cyanophycinase,3300025784_29
INHDPCIF_01176,CDS,801,cphB,3.4.15.6,,Cyanophycinase,3300025471_23
OHCHDHGL_00118,CDS,879,cphB,3.4.15.6,,Cyanophycinase,3300006056_50
EAJPPLPO_00154,CDS,861,cphB,3.4.15.6,,Cyanophycinase,3300025861_15
PNJHOGJH_02059,CDS,528,cphB,3.4.15.6,,Cyanophycinase,3300014832_5
GNOILAAC_02245,CDS,861,cphB,3.4.15.6,,Cyanophycinase,3300009704_19
APMHFLBK_01985,CDS,882,cphB,3.4.15.6,,Cyanophycinase,3300026516_32
LPKEGACG_00989,CDS,807,cphB_1,3.4.15.6,,Cyanophycinase,3300012533_33
LPKEGACG_03058,CDS,855,cphB_2,3.4.15.6,,Cyanophycinase,3300012533_33
OCLNDMPH_01353,CDS,885,cphB,3.4.15.6,,Cyanophycinase,3300026299_19
MNGBMBOP_00943,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300025866_9
GNGBPJMN_02771,CDS,897,cphB,3.4.15.6,,Cyanophycinase,3300026288_8
INKJGNDP_01128,CDS,885,cphB,3.4.15.6,,Cyanophycinase,3300026302_20
EKFNFIKI_01229,CDS,681,cphB,3.4.15.6,,Cyanophycinase,3300026516_53
BCPFCBFH_00461,CDS,942,cphB,3.4.15.6,,Cyanophycinase,3300023194_7
JLAMJPBN_01760,CDS,873,cphB_1,3.4.15.6,,Cyanophycinase,3300026282_12
JLAMJPBN_02077,CDS,837,cphB_2,3.4.15.6,,Cyanophycinase,3300026282_12
JLAMJPBN_02891,CDS,888,cphB_3,3.4.15.6,,Cyanophycinase,3300026282_12
BFLPLPII_00248,CDS,867,cphB_1,3.4.15.6,,Cyanophycinase,3300026286_9
BFLPLPII_03204,CDS,879,cphB_2,3.4.15.6,,Cyanophycinase,3300026286_9
PKKIOCPO_00643,CDS,807,cphB,3.4.15.6,,Cyanophycinase,3300025618_26
GICMJOCC_01549,CDS,864,cphB,3.4.15.6,,Cyanophycinase,3300025858_33
NPKKJOBE_00493,CDS,825,cphB,3.4.15.6,,Cyanophycinase,3300029314_4
BLCCCKIA_02752,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300026284_6
BNJNDLBK_01591,CDS,852,cphB,3.4.15.6,,Cyanophycinase,3300025408_9
HJFBKKFC_01442,CDS,849,cphB,3.4.15.6,,Cyanophycinase,3300026302_14
KDKBKCCJ_01462,CDS,870,cphB_1,3.4.15.6,,Cyanophycinase,3300025686_7
KDKBKCCJ_02525,CDS,867,cphB_2,3.4.15.6,,Cyanophycinase,3300025686_7
ENAPNIBE_02388,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300014830_11
