locus_tag,ftype,length_bp,gene,EC_number,COG,product,bin
MBECJGJC_00001,CDS,1218,thrS,6.1.1.3,COG0441,Threonine--tRNA ligase,UW4-IA
MBECJGJC_00002,CDS,432,infC,,COG0290,Translation initiation factor IF-3,UW4-IA
MBECJGJC_00003,CDS,198,rpmI,,,50S ribosomal protein L35,UW4-IA
MBECJGJC_00004,CDS,360,rplT,,COG0292,50S ribosomal protein L20,UW4-IA
MBECJGJC_00005,CDS,1047,pheS,6.1.1.20,COG0016,Phenylalanine--tRNA ligase alpha subunit,UW4-IA
MBECJGJC_00006,CDS,2376,pheT,6.1.1.20,COG0072,Phenylalanine--tRNA ligase beta subunit,UW4-IA
MBECJGJC_00007,CDS,303,ihfA,,COG0776,Integration host factor subunit alpha,UW4-IA
MBECJGJC_00008,CDS,378,,,,hypothetical protein,UW4-IA
MBECJGJC_00009,tRNA,77,,,,tRNA-Pro(ggg),UW4-IA
MBECJGJC_00010,CDS,1467,,,,Bacteriohemerythrin,UW4-IA
MBECJGJC_00011,CDS,1320,sasA_1,2.7.-.-,,Adaptive-response sensory-kinase SasA,UW4-IA
MBECJGJC_00012,CDS,612,,,,hypothetical protein,UW4-IA
MBECJGJC_00013,CDS,369,cheY_1,,COG0784,Chemotaxis protein CheY,UW4-IA
MBECJGJC_00014,CDS,1218,sasA_2,2.7.-.-,,Adaptive-response sensory-kinase SasA,UW4-IA
MBECJGJC_00015,CDS,567,hupR1_1,,COG2204,Hydrogenase transcriptional regulatory protein hupR1,UW4-IA
MBECJGJC_00016,CDS,1320,,3.1.4.-,COG3437,putative cyclic di-GMP phosphodiesterase,UW4-IA
MBECJGJC_00017,CDS,1266,,3.1.4.-,COG2206,Cyclic di-GMP phosphodiesterase,UW4-IA
MBECJGJC_00018,CDS,1164,rssB_1,,,Regulator of RpoS,UW4-IA
MBECJGJC_00019,CDS,1068,,,,hypothetical protein,UW4-IA
MBECJGJC_00020,CDS,1182,arnB_1,2.6.1.87,,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,UW4-IA
MBECJGJC_00021,CDS,1245,btrK,4.1.1.95,,L-glutamyl-[BtrI acyl-carrier protein] decarboxylase,UW4-IA
MBECJGJC_00022,CDS,1632,lcfB_1,6.2.1.3,COG0318,Long-chain-fatty-acid--CoA ligase,UW4-IA
MBECJGJC_00023,CDS,879,ada,,COG0350,Bifunctional transcriptional activator/DNA repair enzyme Ada,UW4-IA
MBECJGJC_00024,CDS,879,,,,IS1595 family transposase ISBsp7,UW4-IA
MBECJGJC_00025,CDS,1116,aroC,4.2.3.5,,Chorismate synthase,UW4-IA
MBECJGJC_00026,CDS,252,,,,hypothetical protein,UW4-IA
MBECJGJC_00027,CDS,1212,hcaT,,,putative 3-phenylpropionic acid transporter,UW4-IA
MBECJGJC_00028,CDS,840,loiP,3.4.24.-,COG0501,Metalloprotease LoiP,UW4-IA
MBECJGJC_00029,CDS,453,leuC_1,4.2.1.33,COG0065,3-isopropylmalate dehydratase large subunit,UW4-IA
MBECJGJC_00030,CDS,909,leuC_2,4.2.1.33,COG0065,3-isopropylmalate dehydratase large subunit,UW4-IA
MBECJGJC_00031,CDS,129,,,,hypothetical protein,UW4-IA
MBECJGJC_00032,CDS,639,leuD,4.2.1.33,COG0066,3-isopropylmalate dehydratase small subunit,UW4-IA
MBECJGJC_00033,CDS,1083,leuB,1.1.1.85,,3-isopropylmalate dehydrogenase,UW4-IA
MBECJGJC_00034,CDS,1131,asd,1.2.1.11,COG0136,Aspartate-semialdehyde dehydrogenase,UW4-IA
MBECJGJC_00035,CDS,3186,,,,hypothetical protein,UW4-IA
MBECJGJC_00036,CDS,597,,,,hypothetical protein,UW4-IA
MBECJGJC_00037,CDS,795,truA,5.4.99.12,COG0101,tRNA pseudouridine synthase A,UW4-IA
MBECJGJC_00038,CDS,642,trpF,5.3.1.24,COG0135,N-(5'-phosphoribosyl)anthranilate isomerase,UW4-IA
MBECJGJC_00039,CDS,1206,trpB_1,4.2.1.20,COG0133,Tryptophan synthase beta chain,UW4-IA
MBECJGJC_00040,CDS,825,trpA,4.2.1.20,COG0159,Tryptophan synthase alpha chain,UW4-IA
MBECJGJC_00041,CDS,873,accD,2.1.3.15,COG0777,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,UW4-IA
MBECJGJC_00042,CDS,1350,folC,6.3.2.12,COG0285,Dihydrofolate synthase/folylpolyglutamate synthase,UW4-IA
MBECJGJC_00043,CDS,678,dedD,,,Cell division protein DedD,UW4-IA
MBECJGJC_00044,CDS,489,cvpA,,COG1286,Colicin V production protein,UW4-IA
MBECJGJC_00045,CDS,1524,purF,2.4.2.14,COG0034,Amidophosphoribosyltransferase,UW4-IA
MBECJGJC_00046,CDS,1218,metZ,2.5.1.-,COG0626,O-succinylhomoserine sulfhydrylase,UW4-IA
MBECJGJC_00047,CDS,300,,,,hypothetical protein,UW4-IA
MBECJGJC_00048,CDS,453,,,COG2703,Bacteriohemerythrin,UW4-IA
MBECJGJC_00049,CDS,1497,amtB_1,,,Ammonia channel,UW4-IA
MBECJGJC_00050,CDS,339,glnK,,COG0347,Nitrogen regulatory protein P-II 2,UW4-IA
