source,target_id,length,eff_length,est_counts,tpm,ftype,length_bp,gene,product,bin
aer_1455,EEIKLKKP_02274,2172,2032.77,0,0,CDS,2172,cphA_1,Cyanophycin synthetase,UW7-IIF
aer_1455,EEIKLKKP_02275,2583,2443.77,1,0.0229965,CDS,2583,cphA_2,Cyanophycin synthetase,UW7-IIF
aer_1455,FCNOHOGK_03863,2583,2443.77,9.00908,0.207178,CDS,2583,cphA_1,Cyanophycin synthetase,UW5-IIA
aer_1455,FCNOHOGK_03864,2172,2032.77,8.39752,0.232159,CDS,2172,cphA_2,Cyanophycin synthetase,UW5-IIA
aer_1455,MBECJGJC_00837,2583,2443.77,169.294,3.89317,CDS,2583,cphA_1,Cyanophycin synthetase,UW4-IA
aer_1455,MBECJGJC_00838,1884,1744.77,228,7.34377,CDS,1884,cphA_2,Cyanophycin synthetase,UW4-IA
aer_1455,POCFKNDN_00727,2172,2032.77,836.602,23.1288,CDS,2172,cphA_1,Cyanophycin synthetase,UW6-IIC
aer_1455,POCFKNDN_00728,2583,2443.77,982.697,22.5986,CDS,2583,cphA_2,Cyanophycin synthetase,UW6-IIC
aer_1355,EEIKLKKP_02274,2172,2022.91,0,0,CDS,2172,cphA_1,Cyanophycin synthetase,UW7-IIF
aer_1355,EEIKLKKP_02275,2583,2433.91,1,0.0147362,CDS,2583,cphA_2,Cyanophycin synthetase,UW7-IIF
aer_1355,FCNOHOGK_03863,2583,2433.91,4,0.0589449,CDS,2583,cphA_1,Cyanophycin synthetase,UW5-IIA
aer_1355,FCNOHOGK_03864,2172,2022.91,10.3958,0.184319,CDS,2172,cphA_2,Cyanophycin synthetase,UW5-IIA
aer_1355,MBECJGJC_00837,2583,2433.91,221.848,3.2692,CDS,2583,cphA_1,Cyanophycin synthetase,UW4-IA
aer_1355,MBECJGJC_00838,1884,1734.91,350,7.23572,CDS,1884,cphA_2,Cyanophycin synthetase,UW4-IA
aer_1355,POCFKNDN_00727,2172,2022.91,1460.6,25.8968,CDS,2172,cphA_1,Cyanophycin synthetase,UW6-IIC
aer_1355,POCFKNDN_00728,2583,2433.91,1609.15,23.7128,CDS,2583,cphA_2,Cyanophycin synthetase,UW6-IIC
aer_1315,EEIKLKKP_02274,2172,2026.75,0,0,CDS,2172,cphA_1,Cyanophycin synthetase,UW7-IIF
aer_1315,EEIKLKKP_02275,2583,2437.75,2,0.0296963,CDS,2583,cphA_2,Cyanophycin synthetase,UW7-IIF
aer_1315,FCNOHOGK_03863,2583,2437.75,5.0144,0.0744545,CDS,2583,cphA_1,Cyanophycin synthetase,UW5-IIA
aer_1315,FCNOHOGK_03864,2172,2026.75,13.0241,0.232599,CDS,2172,cphA_2,Cyanophycin synthetase,UW5-IIA
aer_1315,MBECJGJC_00837,2583,2437.75,304.226,4.51719,CDS,2583,cphA_1,Cyanophycin synthetase,UW4-IA
aer_1315,MBECJGJC_00838,1884,1738.75,561,11.6785,CDS,1884,cphA_2,Cyanophycin synthetase,UW4-IA
aer_1315,POCFKNDN_00727,2172,2026.75,978.976,17.4837,CDS,2172,cphA_1,Cyanophycin synthetase,UW6-IIC
aer_1315,POCFKNDN_00728,2583,2437.75,1039.76,15.4385,CDS,2583,cphA_2,Cyanophycin synthetase,UW6-IIC
aer_1240,EEIKLKKP_02274,2172,2024.27,0,0,CDS,2172,cphA_1,Cyanophycin synthetase,UW7-IIF
aer_1240,EEIKLKKP_02275,2583,2435.27,4,0.0450087,CDS,2583,cphA_2,Cyanophycin synthetase,UW7-IIF
aer_1240,FCNOHOGK_03863,2583,2435.27,13.0062,0.146348,CDS,2583,cphA_1,Cyanophycin synthetase,UW5-IIA
aer_1240,FCNOHOGK_03864,2172,2024.27,19.1631,0.259406,CDS,2172,cphA_2,Cyanophycin synthetase,UW5-IIA
aer_1240,MBECJGJC_00837,2583,2435.27,712.51,8.01729,CDS,2583,cphA_1,Cyanophycin synthetase,UW4-IA
aer_1240,MBECJGJC_00838,1884,1736.27,1217,19.2069,CDS,1884,cphA_2,Cyanophycin synthetase,UW4-IA
aer_1240,POCFKNDN_00727,2172,2024.27,2056.84,27.843,CDS,2172,cphA_1,Cyanophycin synthetase,UW6-IIC
aer_1240,POCFKNDN_00728,2583,2435.27,2081.48,23.4212,CDS,2583,cphA_2,Cyanophycin synthetase,UW6-IIC
ana_1155,EEIKLKKP_02274,2172,2019.51,0,0,CDS,2172,cphA_1,Cyanophycin synthetase,UW7-IIF
ana_1155,EEIKLKKP_02275,2583,2430.51,8,0.118661,CDS,2583,cphA_2,Cyanophycin synthetase,UW7-IIF
ana_1155,FCNOHOGK_03863,2583,2430.51,26,0.38565,CDS,2583,cphA_1,Cyanophycin synthetase,UW5-IIA
ana_1155,FCNOHOGK_03864,2172,2019.51,29.6299,0.528934,CDS,2172,cphA_2,Cyanophycin synthetase,UW5-IIA
ana_1155,MBECJGJC_00837,2583,2430.51,769.269,11.4103,CDS,2583,cphA_1,Cyanophycin synthetase,UW4-IA
ana_1155,MBECJGJC_00838,1884,1731.51,729,15.1782,CDS,1884,cphA_2,Cyanophycin synthetase,UW4-IA
ana_1155,POCFKNDN_00727,2172,2019.51,1697.37,30.3003,CDS,2172,cphA_1,Cyanophycin synthetase,UW6-IIC
ana_1155,POCFKNDN_00728,2583,2430.51,1933.73,28.6824,CDS,2583,cphA_2,Cyanophycin synthetase,UW6-IIC
ana_1116,EEIKLKKP_02274,2172,2018.74,0,0,CDS,2172,cphA_1,Cyanophycin synthetase,UW7-IIF
ana_1116,EEIKLKKP_02275,2583,2429.74,2,0.0308488,CDS,2583,cphA_2,Cyanophycin synthetase,UW7-IIF
ana_1116,FCNOHOGK_03863,2583,2429.74,23.0094,0.354906,CDS,2583,cphA_1,Cyanophycin synthetase,UW5-IIA
ana_1116,FCNOHOGK_03864,2172,2018.74,32.1288,0.596461,CDS,2172,cphA_2,Cyanophycin synthetase,UW5-IIA
ana_1116,MBECJGJC_00837,2583,2429.74,508.28,7.83992,CDS,2583,cphA_1,Cyanophycin synthetase,UW4-IA
ana_1116,MBECJGJC_00838,1884,1730.74,646,13.9884,CDS,1884,cphA_2,Cyanophycin synthetase,UW4-IA
ana_1116,POCFKNDN_00727,2172,2018.74,2301.87,42.7335,CDS,2172,cphA_1,Cyanophycin synthetase,UW6-IIC
ana_1116,POCFKNDN_00728,2583,2429.74,2435.71,37.5694,CDS,2583,cphA_2,Cyanophycin synthetase,UW6-IIC
ana_1045,EEIKLKKP_02274,2172,2020.68,2,0.0480506,CDS,2172,cphA_1,Cyanophycin synthetase,UW7-IIF
ana_1045,EEIKLKKP_02275,2583,2431.68,4,0.0798582,CDS,2583,cphA_2,Cyanophycin synthetase,UW7-IIF
ana_1045,FCNOHOGK_03863,2583,2431.68,9.00638,0.179808,CDS,2583,cphA_1,Cyanophycin synthetase,UW5-IIA
ana_1045,FCNOHOGK_03864,2172,2020.68,35.8968,0.862431,CDS,2172,cphA_2,Cyanophycin synthetase,UW5-IIA
ana_1045,MBECJGJC_00837,2583,2431.68,361.569,7.21856,CDS,2583,cphA_1,Cyanophycin synthetase,UW4-IA
ana_1045,MBECJGJC_00838,1884,1732.68,592,16.5871,CDS,1884,cphA_2,Cyanophycin synthetase,UW4-IA
ana_1045,POCFKNDN_00727,2172,2020.68,2886.1,69.3394,CDS,2172,cphA_1,Cyanophycin synthetase,UW6-IIC
