bin:contig,start,end,locus_tag,ec_num
3300028624.a:Ga0302246_1000035,107791,108768,FFEPGODN_00544,3.4.19.5
3300025683.a:Ga0208564_1000891,10661,11665,JEILHNOF_00872,3.4.19.5
3300003282.a:KU72_1001544,25532,26338,NFMAAHDF_01570,3.4.19.5
3300003282.a:KU72_1001544,26338,26532,NFMAAHDF_01571,3.4.19.5
3300012533.a:Ga0138256_10000045,94818,95741,PDPKOJHL_01727,3.4.19.5
3300026284.a:Ga0209792_1000154,69898,70740,HGLLPFEL_01631,3.4.19.5
3300012018.a:Ga0119867_1001684,5152,6207,GCKCOCGF_00174,3.4.19.5
3300012018.a:Ga0119867_1000638,2721,3611,GCKCOCGF_01493,3.4.19.5
3300013502.a:Ga0119901_1000025,145970,146974,JMNKLLEI_03568,3.4.19.5
3300027786.a:Ga0209812_10019302,1020,1955,HGAFABCG_01709,3.4.19.5
3300028622.a:Ga0302253_1006379,54,1016,CBFAOKHK_00268,3.4.19.5
3300026303.a:Ga0209793_1000008,181755,182597,DAKPFAMG_02032,3.4.19.5
3300026303.a:Ga0209793_1000008,351590,352594,DAKPFAMG_02180,3.4.19.5
3300025657.a:Ga0208823_1011687,1965,2807,JKCGLKGC_00632,3.4.19.5
3300025847.a:Ga0209607_1018484,2885,3805,HDGPHPAP_00561,3.4.19.5
3300026286.a:Ga0209460_1002219,4071,5147,INNJGBJN_01564,3.4.19.5
3300012956.a:Ga0154020_10020016,5965,6966,BKLNAMDA_01411,3.4.19.5
3300003282.a:KU72_1003142,6866,7381,AKJEFHCJ_00038,3.4.19.5
3300025702.a:Ga0209203_1009245,2893,3864,OPHKFPNA_01881,3.4.19.5
3300025847.a:Ga0209607_1000627,3088,3993,MOEDKDNG_01918,3.4.19.5
3300023187.a:Ga0256613_1135501,1072810,1073724,MOKMHMPD_01647,3.4.19.5
3300023187.a:Ga0256613_1216696,204742,205695,MOKMHMPD_02672,3.4.19.5
3300027794.a:Ga0209480_10009251,4282,5274,JPEBHFJJ_03956,3.4.19.5
3300025613.a:Ga0208461_1002163,6412,7389,KOHCOIOC_00846,3.4.19.5
3300014832.a:Ga0119905_1000028,45151,46155,GGJJCJIF_03268,3.4.19.5
3300025605.a:Ga0209720_1000088,92519,93478,CPILDHPL_00357,3.4.19.5
