bin:contig,start,end,locus_tag,ec_num
3300025877.a:Ga0208460_10000684,4781,7576,FMAGMNEE_01852,6.3.2.29
3300025730.a:Ga0209606_1022144,858,1943,BHDNGKEC_02536,6.3.2.29
3300003282.a:KU72_1001505,17672,18067,NFMAAHDF_02667,6.3.2.29
3300003282.a:KU72_1001505,18148,18654,NFMAAHDF_02668,6.3.2.29
3300003282.a:KU72_1001505,19269,19865,NFMAAHDF_02669,6.3.2.29
3300012533.a:Ga0138256_10000081,47624,50278,PDPKOJHL_00041,6.3.2.29
3300026284.a:Ga0209792_1000154,66215,68833,HGLLPFEL_01629,6.3.2.29
3300026284.a:Ga0209792_1000001,2070567,2073185,KKHCEBKF_01768,6.3.2.29
3300025683.a:Ga0208564_1006827,1620,4286,BANOMJLK_00647,6.3.2.29
3300025618.a:Ga0208693_1000539,27526,30111,NCJNHINJ_01715,6.3.2.29
3300001594.a:Draft_10000710,38016,39020,BFAOPOAA_00128,6.3.2.29
3300026303.a:Ga0209793_1000008,183821,186448,DAKPFAMG_02034,6.3.2.29
3300025631.a:Ga0209204_1005968,452,3130,LDDMKJLN_01971,6.3.2.29
3300025682.a:Ga0209718_1001769,3734,4798,DOINEPEK_04832,6.3.2.29
3300026286.a:Ga0209460_1004963,3552,4322,INNJGBJN_00935,6.3.2.29
3300012956.a:Ga0154020_10012487,53,1438,BKLNAMDA_00927,6.3.2.29
3300012533.a:Ga0138256_10059398,58,1356,HDKKOBEC_00137,6.3.2.29
3300003282.a:KU72_1003142,4060,4398,AKJEFHCJ_00035,6.3.2.29
3300003282.a:KU72_1003142,4364,4597,AKJEFHCJ_00036,6.3.2.29
3300003282.a:KU72_1003142,5354,6811,AKJEFHCJ_00037,6.3.2.29
3300023187.a:Ga0256613_1135501,1074729,1077332,MOKMHMPD_01649,6.3.2.29
3300025720.a:Ga0208197_1000689,33823,36690,KHKBPDMK_00809,6.3.2.29
3300025678.a:Ga0208695_1003434,6404,9034,HAEGBIOM_02028,6.3.2.29
3300025678.a:Ga0208695_1000539,21243,22472,HAEGBIOM_04360,6.3.2.29
3300025730.a:Ga0209606_1003223,3810,4874,GPPMLNOF_02483,6.3.2.29
3300027794.a:Ga0209480_10002885,1200,3743,KGCLNBKH_00761,6.3.2.29
3300014773.a:Ga0119928_1000112,6227,7294,DEJCEMPP_01016,6.3.2.29
3300014773.a:Ga0119928_1000112,7297,8349,DEJCEMPP_01017,6.3.2.29
3300014773.a:Ga0119928_1000112,8358,9335,DEJCEMPP_01018,6.3.2.29
3300025902.a:Ga0209202_1000288,4740,5687,LLCECPHM_00790,6.3.2.29
3300025657.a:Ga0208823_1000130,20924,23512,LNOFAMIA_00340,6.3.2.29
3300023211.a:Ga0255842_1710611,3265,5883,LCDBBFPM_01680,6.3.2.29
3300027794.a:Ga0209480_10007909,3290,5908,OOALCAOM_01334,6.3.2.29
3300009779.a:Ga0116152_10000045,26607,29243,PJPFCAAP_02578,6.3.2.29
3300027673.a:Ga0209278_1000008,143869,146538,DNNLHFNP_00184,6.3.2.29
3300009540.a:Ga0073899_10000112,37512,40085,JIIPNOCP_01797,6.3.2.29
3300009540.a:Ga0073899_10000112,40088,42415,JIIPNOCP_01798,6.3.2.29
3300026289.a:Ga0209369_1000419,25464,28046,KJHKMFHD_01093,6.3.2.29
3300026289.a:Ga0209369_1000419,28198,30369,KJHKMFHD_01094,6.3.2.29
3300026289.a:Ga0209369_1000077,49776,52403,ADPAFMPJ_01016,6.3.2.29
3300005673.a:Ga0074422_100001,640241,641308,PNKGFMGL_00626,6.3.2.29
3300005673.a:Ga0074422_100001,641311,642363,PNKGFMGL_00627,6.3.2.29
3300005673.a:Ga0074422_100001,642372,643349,PNKGFMGL_00628,6.3.2.29
3300025597.a:Ga0208825_1000221,17806,20106,MHKILMKO_01311,6.3.2.29
3300025597.a:Ga0208825_1000221,20106,22700,MHKILMKO_01312,6.3.2.29
3300025882.a:Ga0209097_10001473,2583,5135,IEDHJAIB_02484,6.3.2.29
3300025772.a:Ga0208939_1000076,17274,20108,EFAHMGMO_01827,6.3.2.29
3300027673.a:Ga0209278_1001986,10028,11782,MDJFDBDE_00547,6.3.2.29
3300026282.a:Ga0209053_1000172,5386,7968,DEMPAJKM_00945,6.3.2.29
3300026282.a:Ga0209053_1000172,8120,10291,DEMPAJKM_00946,6.3.2.29
3300026282.a:Ga0209053_1002641,5721,6632,ABPPCAHK_01234,6.3.2.29
3300009779.a:Ga0116152_10014764,35,2461,FDIHOILK_01590,6.3.2.29
2030936003.a:ANAMFRP_C10561,419,3058,MBAEKDFC_01787,6.3.2.29
2030936003.a:ANAMFRP_C10561,3085,4467,MBAEKDFC_01788,6.3.2.29
2030936003.a:ANAMFRP_C10561,4470,5291,MBAEKDFC_01789,6.3.2.29
3300009779.a:Ga0116152_10024221,717,3380,FFJIBEOA_01827,6.3.2.29
3300025618.a:Ga0208693_1000518,28037,30625,MIDCAJMC_00743,6.3.2.29
3300026289.a:Ga0209369_1000491,8466,11060,KDOEAPAF_01097,6.3.2.29
3300026289.a:Ga0209369_1000491,11141,13306,KDOEAPAF_01098,6.3.2.29
3300026287.a:Ga0209571_1000262,39465,42260,OOMIMEGK_00967,6.3.2.29
3300029239.a:Ga0168092_1000630,74,2722,EDKBPMCG_00296,6.3.2.29
3300026284.a:Ga0209792_1000451,19068,21233,AOLFBBDC_01436,6.3.2.29
3300026284.a:Ga0209792_1000451,21314,23908,AOLFBBDC_01437,6.3.2.29
3300027789.a:Ga0209174_10002822,9261,11144,OHGGAAHL_01305,6.3.2.29
3300009540.a:Ga0073899_10000524,11130,13790,EILJIOFP_01738,6.3.2.29
3300009540.a:Ga0073899_10000071,35170,37824,EBLGKAKJ_01603,6.3.2.29
3300011965.a:Ga0119875_100122,9214,11919,DGMLJOBH_00150,6.3.2.29
3300028622.a:Ga0302253_1002519,2027,4726,OAFLPLAN_01848,6.3.2.29
3300025866.a:Ga0208822_1001370,11050,13884,MNNAGDNE_02068,6.3.2.29
3300014832.a:Ga0119905_1005449,2204,4432,LIMPOPPD_00206,6.3.2.29
