locus_tag,ftype,length_bp,gene,EC_number,COG,product,bin
NEEKKIBO_00081,CDS,840,cphB,3.4.15.6,,Cyanophycinase,3300026299_23
HADCLKOC_00605,CDS,861,cphB,3.4.15.6,,Cyanophycinase,3300006056_87
LCHMMCNM_01119,CDS,765,cphB,3.4.15.6,,Cyanophycinase,3300013771_14
BMEJMBDH_01885,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300025724_24
HJHCPJKE_01547,CDS,873,cphB,3.4.15.6,,Cyanophycinase,3300012018_13
NMHKBOPA_01218,CDS,924,cphB,3.4.15.6,,Cyanophycinase,3300009779_27
CKEIHADF_02452,CDS,858,cphB,3.4.15.6,,Cyanophycinase,3300026286_10
HMMLCAHA_01773,CDS,816,cphB,3.4.15.6,,Cyanophycinase,3300025587_16
EKOGGFDF_01453,CDS,897,cphB,3.4.15.6,,Cyanophycinase,3300013771_17
ELGAEGBM_02196,CDS,825,cphB,3.4.15.6,,Cyanophycinase,3300009779_2
PEJDAEMC_00450,CDS,891,cphB_1,3.4.15.6,,Cyanophycinase,3300026299_10
PEJDAEMC_01193,CDS,939,cphB_2,3.4.15.6,,Cyanophycinase,3300026299_10
PAEKHMDO_00423,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300013771_15
JBJKOOBN_00268,CDS,909,cphB,3.4.15.6,,Cyanophycinase,3300025748_34
GENDPDPH_00819,CDS,897,cphB_1,3.4.15.6,,Cyanophycinase,3300027786_30
GENDPDPH_01601,CDS,813,cphB_2,3.4.15.6,,Cyanophycinase,3300027786_30
NCCKFACJ_00619,CDS,909,cphB,3.4.15.6,,Cyanophycinase,3300025587_9
PCLDDCCH_00152,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300027776_16
NLKENPOD_00942,CDS,876,cphB,3.4.15.6,,Cyanophycinase,3300012956_58
DIBBDEKE_01455,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300029440_8
JAFBNIDH_00248,CDS,813,cphB,3.4.15.6,,Cyanophycinase,3300025678_54
CNLIFEHN_02206,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300025720_10
DMADPCCC_01296,CDS,867,cphB,3.4.15.6,,Cyanophycinase,3300025784_38
OOMIMEGK_00968,CDS,840,cphB,3.4.15.6,,Cyanophycinase,3300026287_13
PKKFLCEL_01778,CDS,867,cphB,3.4.15.6,,Cyanophycinase,3300025740_43
DNNLHFNP_00183,CDS,864,cphB,3.4.15.6,,Cyanophycinase,3300027673_12
CJOECDAF_01193,CDS,897,cphB,3.4.15.6,,Cyanophycinase,3300025691_24
HKAIOEIB_00078,CDS,897,cphB,3.4.15.6,,Cyanophycinase,3300025882_16
IKKIPPNO_00370,CDS,876,cphB,3.4.15.6,,Cyanophycinase,3300026302_16
JAGCOGFC_01513,CDS,894,cphB,3.4.15.6,,Cyanophycinase,3300001580_44
BOJCLMMP_02703,CDS,921,cphB,3.4.15.6,,Cyanophycinase,3300027789_17
LACLJNDJ_02043,CDS,873,cphB,3.4.15.6,,Cyanophycinase,3300027673_27
LMBJGNJD_01696,CDS,867,cphB,3.4.15.6,,Cyanophycinase,3300025720_33
CIJLEGPB_02131,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300029942_7
BAPAHJAG_00746,CDS,864,cphB,3.4.15.6,,Cyanophycinase,3300012956_47
NFHIDEDO_00352,CDS,843,cphB,3.4.15.6,,Cyanophycinase,3300029781_7
