locus_tag,ftype,length_bp,gene,EC_number,COG,product,bin
,repeat_region,2103,,,,,Acc_IB
KBJAGEOF_00001,CDS,297,,,,hypothetical protein,Acc_IB
KBJAGEOF_00002,CDS,894,ygbT,3.1.-.-,COG1518,CRISPR-associated endonuclease Cas1,Acc_IB
KBJAGEOF_00003,CDS,738,,,,hypothetical protein,Acc_IB
KBJAGEOF_00004,CDS,714,,,,hypothetical protein,Acc_IB
KBJAGEOF_00005,CDS,1203,casC,,,CRISPR system Cascade subunit CasC,Acc_IB
KBJAGEOF_00006,CDS,588,,,,hypothetical protein,Acc_IB
KBJAGEOF_00007,CDS,1578,,,,hypothetical protein,Acc_IB
KBJAGEOF_00008,CDS,2616,ygcB,3.1.-.-,COG1203,CRISPR-associated endonuclease/helicase Cas3,Acc_IB
KBJAGEOF_00009,CDS,285,,,,hypothetical protein,Acc_IB
KBJAGEOF_00010,CDS,519,,,,hypothetical protein,Acc_IB
KBJAGEOF_00011,CDS,1386,,,,hypothetical protein,Acc_IB
KBJAGEOF_00012,CDS,1287,hemL,5.4.3.8,COG0001,"Glutamate-1-semialdehyde 2,1-aminomutase",Acc_IB
KBJAGEOF_00013,CDS,702,thiE_1,2.5.1.3,,Thiamine-phosphate synthase,Acc_IB
KBJAGEOF_00014,CDS,855,thiD,2.7.1.49,COG0351,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,Acc_IB
KBJAGEOF_00015,CDS,189,rubA2,,COG1773,Rubredoxin-2,Acc_IB
KBJAGEOF_00016,CDS,396,patA,,COG0784,Protein PatA,Acc_IB
KBJAGEOF_00017,CDS,363,pleD_1,,,Response regulator PleD,Acc_IB
KBJAGEOF_00018,CDS,510,,,,hypothetical protein,Acc_IB
KBJAGEOF_00019,CDS,2169,,,,hypothetical protein,Acc_IB
KBJAGEOF_00020,CDS,5457,rcsC_1,2.7.13.3,,Sensor histidine kinase RcsC,Acc_IB
KBJAGEOF_00021,CDS,1470,phrA,4.1.99.3,COG0415,Deoxyribodipyrimidine photo-lyase,Acc_IB
KBJAGEOF_00022,CDS,561,,,,hypothetical protein,Acc_IB
KBJAGEOF_00023,CDS,456,yqgF,3.1.-.-,COG0816,Putative pre-16S rRNA nuclease,Acc_IB
KBJAGEOF_00024,CDS,507,pyrR,2.4.2.9,,Bifunctional protein PyrR,Acc_IB
KBJAGEOF_00025,CDS,960,pyrB,2.1.3.2,,Aspartate carbamoyltransferase,Acc_IB
KBJAGEOF_00026,CDS,1254,pyrC',,COG0044,Dihydroorotase-like protein,Acc_IB
KBJAGEOF_00027,CDS,291,,,,hypothetical protein,Acc_IB
KBJAGEOF_00028,CDS,540,,,,hypothetical protein,Acc_IB
KBJAGEOF_00029,CDS,816,proC,1.5.1.2,COG0345,Pyrroline-5-carboxylate reductase,Acc_IB
KBJAGEOF_00030,CDS,690,yggS,,COG0325,Pyridoxal phosphate homeostasis protein,Acc_IB
KBJAGEOF_00031,CDS,1047,pilT_1,,COG2805,Twitching mobility protein,Acc_IB
KBJAGEOF_00032,CDS,1137,pilT_2,,COG2805,Twitching mobility protein,Acc_IB
KBJAGEOF_00033,CDS,1161,rlmL,2.1.1.173,COG0116,Ribosomal RNA large subunit methyltransferase L,Acc_IB
KBJAGEOF_00034,CDS,417,,,,hypothetical protein,Acc_IB
KBJAGEOF_00035,CDS,453,,,,hypothetical protein,Acc_IB
KBJAGEOF_00036,CDS,198,,,,hypothetical protein,Acc_IB
KBJAGEOF_00037,CDS,1074,ascD,1.17.1.-,,CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase,Acc_IB
KBJAGEOF_00038,CDS,1176,cdgJ_1,3.1.4.52,COG3434,Cyclic di-GMP phosphodiesterase CdgJ,Acc_IB
KBJAGEOF_00039,CDS,705,livF_1,,COG0410,High-affinity branched-chain amino acid transport ATP-binding protein LivF,Acc_IB
KBJAGEOF_00040,CDS,777,lptB_1,3.6.3.-,COG1137,Lipopolysaccharide export system ATP-binding protein LptB,Acc_IB
KBJAGEOF_00041,CDS,1077,,,,hypothetical protein,Acc_IB
KBJAGEOF_00042,CDS,924,livH_1,,COG0559,High-affinity branched-chain amino acid transport system permease protein LivH,Acc_IB
KBJAGEOF_00043,CDS,1242,braC_1,,COG0683,"Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",Acc_IB
KBJAGEOF_00044,CDS,309,nirM,,COG4654,Cytochrome c-551,Acc_IB
KBJAGEOF_00045,CDS,1857,ilvD,4.2.1.9,COG0129,Dihydroxy-acid dehydratase,Acc_IB
KBJAGEOF_00046,CDS,798,lgt,2.5.1.145,COG0682,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,Acc_IB
KBJAGEOF_00047,CDS,1383,,,,hypothetical protein,Acc_IB
KBJAGEOF_00048,CDS,477,,,,hypothetical protein,Acc_IB
KBJAGEOF_00049,CDS,1062,,,,hypothetical protein,Acc_IB
KBJAGEOF_00050,CDS,441,,,,hypothetical protein,Acc_IB
KBJAGEOF_00051,CDS,939,psdht,4.2.1.-,,Phenylserine dehydratase,Acc_IB
KBJAGEOF_00052,CDS,2790,ppc_1,4.1.1.31,COG2352,Phosphoenolpyruvate carboxylase,Acc_IB
KBJAGEOF_00053,CDS,1209,mdtA_1,,,Multidrug resistance protein MdtA,Acc_IB
