bin:contig,start,end,locus_tag,ec_num
3300025877.a:Ga0208460_10000684,3933,4775,FMAGMNEE_01851,3.4.15.6
3300003282.a:KU72_1001572,35007,35882,NFMAAHDF_00633,3.4.15.6
3300012533.a:Ga0138256_10000115,76958,77833,PDPKOJHL_01340,3.4.15.6
3300026284.a:Ga0209792_1000001,2073480,2074379,KKHCEBKF_01769,3.4.15.6
3300025683.a:Ga0208564_1006827,814,1629,BANOMJLK_00646,3.4.15.6
3300009540.a:Ga0073899_10004268,4160,5050,PIEPJJHK_05091,3.4.15.6
3300025847.a:Ga0209607_1018484,2068,2901,HDGPHPAP_00560,3.4.15.6
3300026286.a:Ga0209460_1003840,4133,4885,INNJGBJN_01828,3.4.15.6
3300029440.a:Ga0167329_1000419,2408,3250,DIBBDEKE_01455,3.4.15.6
3300012956.a:Ga0154020_10041864,1573,2442,BKLNAMDA_02827,3.4.15.6
3300003282.a:KU72_1003142,3593,4030,AKJEFHCJ_00034,3.4.15.6
3300025720.a:Ga0208197_1000689,36734,37642,KHKBPDMK_00810,3.4.15.6
3300025678.a:Ga0208695_1003434,9071,9880,HAEGBIOM_02029,3.4.15.6
3300027794.a:Ga0209480_10002885,3916,4812,KGCLNBKH_00762,3.4.15.6
3300025657.a:Ga0208823_1000130,20103,20927,LNOFAMIA_00339,3.4.15.6
3300023211.a:Ga0255842_1710611,6095,6991,LCDBBFPM_01681,3.4.15.6
3300026286.a:Ga0209460_1000644,16158,17015,CKEIHADF_02452,3.4.15.6
3300009779.a:Ga0116152_10000045,29340,30197,PJPFCAAP_02579,3.4.15.6
3300027673.a:Ga0209278_1000008,142699,143562,DNNLHFNP_00183,3.4.15.6
3300025772.a:Ga0208939_1001074,6503,7375,EFAHMGMO_00957,3.4.15.6
3300025772.a:Ga0208939_1000076,20108,21013,EFAHMGMO_01828,3.4.15.6
3300027673.a:Ga0209278_1006503,1206,2057,MDJFDBDE_01529,3.4.15.6
3300025609.a:Ga0209608_1003224,2384,3277,ABIJOBJK_00335,3.4.15.6
3300013502.a:Ga0119901_1000343,35354,36163,EAHMHKNN_00441,3.4.15.6
3300026282.a:Ga0209053_1000721,28,780,ABPPCAHK_00726,3.4.15.6
2030936003.a:ANAMFRP_C1705,2137,3033,MBAEKDFC_01884,3.4.15.6
3300013502.a:Ga0119901_1005221,4762,5253,MMHFHKMK_04067,3.4.15.6
3300026287.a:Ga0209571_1000262,42473,43312,OOMIMEGK_00968,3.4.15.6
3300029239.a:Ga0168092_1000630,3977,4801,EDKBPMCG_00297,3.4.15.6
3300028582.a:Ga0268360_1000052,80976,81830,APNPJMBF_02415,3.4.15.6
3300027789.a:Ga0209174_10000377,32864,33709,OHGGAAHL_01846,3.4.15.6
3300029255.a:Ga0168097_1000827,2409,3251,FADONMIP_01873,3.4.15.6
3300009540.a:Ga0073899_10000524,13961,14824,EILJIOFP_01739,3.4.15.6
3300009540.a:Ga0073899_10000342,32032,32907,EBLGKAKJ_00595,3.4.15.6
3300011965.a:Ga0119875_100122,8370,9176,DGMLJOBH_00149,3.4.15.6
3300029311.a:Ga0167331_1000403,29995,30837,KJIIJNNF_02152,3.4.15.6
3300025856.a:Ga0209604_1002775,6636,7496,DFGDJPCN_01905,3.4.15.6
3300025866.a:Ga0208822_1001004,6178,7050,MNNAGDNE_01971,3.4.15.6
3300025866.a:Ga0208822_1001370,10145,11050,MNNAGDNE_02067,3.4.15.6
3300027781.a:Ga0209175_10000493,952,1848,NPHDBEHC_01166,3.4.15.6
3300027781.a:Ga0209175_10000598,4843,5703,NPHDBEHC_02866,3.4.15.6
3300025861.a:Ga0209605_1005993,5651,6565,DBFICENM_00133,3.4.15.6
3300027789.a:Ga0209174_10000389,8537,9430,NHFDIFGC_00392,3.4.15.6
3300025882.a:Ga0209097_10001721,13805,14701,HKAIOEIB_00078,3.4.15.6
3300025882.a:Ga0209097_10020078,130,627,CMEGGKOP_00508,3.4.15.6
3300026283.a:Ga0209368_1000345,20860,21699,AKDENIKC_01921,3.4.15.6
3300013790.a:Ga0119888_1000024,3417,4271,BMNNGIAG_01476,3.4.15.6
3300025859.a:Ga0209096_1004092,9540,10436,LGIBBDJI_01062,3.4.15.6
3300006056.a:Ga0075163_10002108,10906,11829,CFFBKDFJ_01804,3.4.15.6
3300013502.a:Ga0119901_1002660,1737,2591,OPOFBMPM_00187,3.4.15.6
3300013502.a:Ga0119901_1002045,6085,6864,OPOFBMPM_01358,3.4.15.6
3300025702.a:Ga0209203_1004272,1653,2546,IHGIHLPN_00708,3.4.15.6
3300029948.a:Ga0119873_1000621,4617,5450,OEAOOPFI_00530,3.4.15.6
3300013771.a:Ga0119904_10000034,41201,42043,PAEKHMDO_00423,3.4.15.6
3300013769.a:Ga0119887_1003125,3583,4194,PHMODKOD_00753,3.4.15.6
3300026288.a:Ga0209572_1000455,37066,37905,LLCIELMC_00590,3.4.15.6
3300014059.a:Ga0119868_1001856,6214,7107,KKGOPHIK_01354,3.4.15.6
3300012018.a:Ga0119867_1001420,636,1460,JDFFGADF_02513,3.4.15.6
3300025678.a:Ga0208695_1002121,895,1743,KEGGOOEI_01784,3.4.15.6
3300026299.a:Ga0209570_1000114,150492,151331,CFBAPMPL_01742,3.4.15.6
3300025748.a:Ga0208459_1004537,4926,5834,JBJKOOBN_00268,3.4.15.6
3300027776.a:Ga0209277_10011274,2961,3803,PCLDDCCH_00152,3.4.15.6
3300027789.a:Ga0209174_10001192,18170,18610,MEBFGEJK_03614,3.4.15.6
3300026303.a:Ga0209793_1000034,185085,185924,FBLJPFKB_00852,3.4.15.6
3300025882.a:Ga0209097_10003862,10145,10987,NIAEMPAJ_02412,3.4.15.6
3300025724.a:Ga0208196_1001276,17095,17961,CMLAGKOM_01488,3.4.15.6
3300012956.a:Ga0154020_10000002,120532,121407,NLKENPOD_00942,3.4.15.6
3300026282.a:Ga0209053_1000707,15494,16366,MIJABPNH_01386,3.4.15.6
3300012018.a:Ga0119867_1001579,4785,5657,HJHCPJKE_01547,3.4.15.6
3300025677.a:Ga0209719_1001360,5409,6317,FIAMMHLM_03000,3.4.15.6
3300009779.a:Ga0116152_10000050,19376,20200,ELGAEGBM_02196,3.4.15.6
3300027786.a:Ga0209812_10001470,9296,10192,GENDPDPH_00819,3.4.15.6
3300027786.a:Ga0209812_10007029,11,823,GENDPDPH_01601,3.4.15.6
3300025702.a:Ga0209203_1009364,2415,3287,CGOLALOP_01079,3.4.15.6
3300006056.a:Ga0075163_10062294,555,1415,HADCLKOC_00605,3.4.15.6
3300027789.a:Ga0209174_10011384,3645,4565,BOJCLMMP_02703,3.4.15.6
3300025678.a:Ga0208695_1004762,2792,3604,JAFBNIDH_00248,3.4.15.6
3300025858.a:Ga0209099_1000524,13939,14784,BCEOCBJH_02914,3.4.15.6
3300025683.a:Ga0208564_1000050,21673,22479,HBIHIPNA_01461,3.4.15.6
3300003281.a:Y607_1003638,15168,15995,OMDFPLNI_02962,3.4.15.6
3300013771.a:Ga0119904_10006726,3721,4485,LCHMMCNM_01119,3.4.15.6
3300009540.a:Ga0073899_10014319,4069,5043,OKGCHOJM_00274,3.4.15.6
3300025867.a:Ga0209098_1001581,13262,14071,PCPIOKDP_00516,3.4.15.6
3300027794.a:Ga0209480_10004774,4668,5528,PKOJONGK_01017,3.4.15.6
3300026286.a:Ga0209460_1000015,411066,411947,LLAOOLGD_04294,3.4.15.6
3300025708.a:Ga0209201_1000092,50081,50974,EFOAGDIF_00524,3.4.15.6
3300014830.a:Ga0119906_1000127,25963,26772,DMFMGKGG_01737,3.4.15.6
3300025611.a:Ga0209408_1001241,322,1215,ELGNPGJH_01208,3.4.15.6
