locus_tag,ftype,length_bp,gene,EC_number,COG,product,bin
GPPMLNOF_02483,CDS,1065,cphA,6.3.2.29,,Cyanophycin synthetase,3300025730_3
DACJBKBG_00074,CDS,1281,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300013280_2
NEEKKIBO_00082,CDS,2799,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300026299_23
HADCLKOC_00606,CDS,2661,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300006056_87
LCHMMCNM_01118,CDS,2664,cphA,6.3.2.29,,Cyanophycin synthetase,3300013771_14
MNLIGKLB_03540,CDS,411,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300001567_23
HJHCPJKE_01546,CDS,2625,cphA,6.3.2.29,,Cyanophycin synthetase,3300012018_13
EKAMACLA_00757,CDS,2628,cphA,6.3.2.29,,Cyanophycin synthetase,3300026283_15
HMMLCAHA_01772,CDS,2667,cphA,6.3.2.29,,Cyanophycin synthetase,3300025587_16
EKOGGFDF_01454,CDS,1233,cphA_1,6.3.2.29,COG0769,Cyanophycin synthetase,3300013771_17
EKOGGFDF_01455,CDS,1362,cphA_2,6.3.2.29,,Cyanophycin synthetase,3300013771_17
PEJDAEMC_00007,CDS,2616,cphA,6.3.2.29,,Cyanophycin synthetase,3300026299_10
FCEPIPDF_03003,CDS,2583,cphA_1,6.3.2.29,,Cyanophycin synthetase,2100351003_1
FCEPIPDF_03004,CDS,2172,cphA_2,6.3.2.29,,Cyanophycin synthetase,2100351003_1
JBJKOOBN_00269,CDS,2868,cphA,6.3.2.29,,Cyanophycin synthetase,3300025748_34
OBFPFKFG_01230,CDS,2673,cphA_1,6.3.2.29,COG0769,Cyanophycin synthetase,3300025856_17
OBFPFKFG_01231,CDS,2298,cphA_2,6.3.2.29,COG0769,Cyanophycin synthetase,3300025856_17
GENDPDPH_00818,CDS,2544,cphA,6.3.2.29,,Cyanophycin synthetase,3300027786_30
NCCKFACJ_00618,CDS,2868,cphA,6.3.2.29,,Cyanophycin synthetase,3300025587_9
OOOHMAMH_00509,CDS,978,cphA_1,6.3.2.29,,Cyanophycin synthetase,3300005689_4
OOOHMAMH_00510,CDS,1053,cphA_2,6.3.2.29,,Cyanophycin synthetase,3300005689_4
OOOHMAMH_00828,CDS,1068,cphA_3,6.3.2.29,,Cyanophycin synthetase,3300005689_4
BFAOPOAA_00128,CDS,1005,cphA,6.3.2.29,,Cyanophycin synthetase,3300001594_65
HDKKOBEC_00137,CDS,1299,cphA,6.3.2.29,,Cyanophycin synthetase,3300012533_23
NCJNHINJ_01715,CDS,2586,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300025618_31
PCLDDCCH_02014,CDS,561,cphA_1,6.3.2.29,COG0769,Cyanophycin synthetase,3300027776_16
PCLDDCCH_02218,CDS,2577,cphA_2,6.3.2.29,COG0769,Cyanophycin synthetase,3300027776_16
NLKENPOD_00943,CDS,2625,cphA,6.3.2.29,,Cyanophycin synthetase,3300012956_58
HGLLPFEL_01629,CDS,2619,cphA,6.3.2.29,,Cyanophycin synthetase,3300026284_15
JAFBNIDH_00247,CDS,2634,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300025678_54
FMHGPMOG_03534,CDS,2166,cphA_1,6.3.2.29,,Cyanophycin synthetase,3300026299_13
FMHGPMOG_03535,CDS,2595,cphA_2,6.3.2.29,,Cyanophycin synthetase,3300026299_13
OOMIMEGK_00967,CDS,2796,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300026287_13
OACNFFII_00371,CDS,678,cphA_1,6.3.2.29,COG0769,Cyanophycin synthetase,3300025589_11
OACNFFII_00372,CDS,2679,cphA_2,6.3.2.29,,Cyanophycin synthetase,3300025589_11
DNNLHFNP_00184,CDS,2670,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300027673_12
EJLCLFPN_02691,CDS,2577,cphA_1,6.3.2.29,,Cyanophycin synthetase,3300027776_12
EJLCLFPN_02692,CDS,2196,cphA_2,6.3.2.29,,Cyanophycin synthetase,3300027776_12
HKAIOEIB_01990,CDS,423,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300025882_16
IKKIPPNO_00369,CDS,2631,cphA,6.3.2.29,,Cyanophycin synthetase,3300026302_16
KPLBEKHK_01273,CDS,2202,cphA,6.3.2.29,,Cyanophycin synthetase,3300012018_10
NIDIKDFH_01570,CDS,2298,cphA_1,6.3.2.29,COG0769,Cyanophycin synthetase,3300025605_17
NIDIKDFH_01588,CDS,2679,cphA_2,6.3.2.29,,Cyanophycin synthetase,3300025605_17
NIKAHOHD_01221,CDS,1059,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300009767_20
OEPEDDDC_01552,CDS,1086,cphA,6.3.2.29,,Cyanophycin synthetase,3300009767_16
BOJCLMMP_02702,CDS,2664,cphA,6.3.2.29,,Cyanophycin synthetase,3300027789_17
LACLJNDJ_02044,CDS,2619,cphA,6.3.2.29,,Cyanophycin synthetase,3300027673_27
OOALCAOM_01334,CDS,2619,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300027794_35
BAPAHJAG_00747,CDS,2661,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300012956_47
GLBCHIJI_00727,CDS,2868,cphA,6.3.2.29,,Cyanophycin synthetase,3300025740_30
CFBAPMPL_01741,CDS,2799,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300026299_14
LDDMKJLN_01971,CDS,2679,cphA,6.3.2.29,,Cyanophycin synthetase,3300025631_24
GNIKIIPD_01283,CDS,2667,cphA,6.3.2.29,,Cyanophycin synthetase,3300025657_18
FFJIBEOA_01827,CDS,2664,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300009779_29
OAFLPLAN_01848,CDS,2700,cphA,6.3.2.29,,Cyanophycin synthetase,3300028622_9
PKOJONGK_01016,CDS,2661,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300027794_22
IEDHJAIB_02484,CDS,2553,cphA,6.3.2.29,,Cyanophycin synthetase,3300025882_22
ALDDPBMN_01639,CDS,2073,cphA,6.3.2.29,,Cyanophycin synthetase,2100351003_3
DAKPFAMG_02034,CDS,2628,cphA,6.3.2.29,,Cyanophycin synthetase,3300026303_17
GNIJOHIK_01009,CDS,2631,cphA,6.3.2.29,,Cyanophycin synthetase,3300009704_28
AHMJIOLK_01393,CDS,2709,cphA,6.3.2.29,,Cyanophycin synthetase,3300025847_29
