ortho_cluster_id,ortho_cluster_members,i_val,mmseqs_cluster_representative,orf_id,mmseqs_cluster_id
0,GCF_001455205_00695,1.2,GCF_001455205_00695,GCF_001455205_00695,245
0,GCF_001455205_00695,1.4,GCF_001455205_00695,GCF_001455205_00695,245
0,GCF_001455205_00695,2.0,GCF_001455205_00695,GCF_001455205_00695,245
0,GCF_001455205_00695,4.0,GCF_001455205_00695,GCF_001455205_00695,245
0,GCF_001455205_00695,6.0,GCF_001455205_00695,GCF_001455205_00695,245
0,GCF_009833085_00395,1.2,GCF_009833085_00395,GCF_009833085_00395,312
0,GCF_009833085_00395,1.4,GCF_009833085_00395,GCF_009833085_00395,312
0,GCF_009833085_00395,2.0,GCF_009833085_00395,GCF_009833085_00395,312
0,GCF_009833085_00395,4.0,GCF_009833085_00395,GCF_009833085_00395,312
0,GCF_009833085_00395,6.0,GCF_009833085_00395,GCF_009833085_00395,312
0,GCF_900103035_02218,1.2,GCF_900103035_02218,GCF_900103035_02218,336
0,GCF_900103035_02218,1.4,GCF_900103035_02218,GCF_900103035_02218,336
0,GCF_900103035_02218,2.0,GCF_900103035_02218,GCF_900103035_02218,336
0,GCF_900103035_02218,4.0,GCF_900103035_02218,GCF_900103035_02218,336
0,GCF_900103035_02218,6.0,GCF_900103035_02218,GCF_900103035_02218,336
0,GCF_900114795_02375,1.2,GCF_900114795_02375,GCF_900114795_02375,342
0,GCF_900114795_02375,1.4,GCF_900114795_02375,GCF_900114795_02375,342
0,GCF_900114795_02375,2.0,GCF_900114795_02375,GCF_900114795_02375,342
0,GCF_900114795_02375,4.0,GCF_900114795_02375,GCF_900114795_02375,342
0,GCF_900114795_02375,6.0,GCF_900114795_02375,GCF_900114795_02375,342
0,GCF_001007935_03096,1.2,GCF_001007935_03096,GCF_001007935_03096,207
0,GCF_001007935_03096,1.4,GCF_001007935_03096,GCF_001007935_03096,207
0,GCF_001007935_03096,2.0,GCF_001007935_03096,GCF_001007935_03096,207
0,GCF_001007935_03096,4.0,GCF_001007935_03096,GCF_001007935_03096,207
0,GCF_001007935_03096,6.0,GCF_001007935_03096,GCF_001007935_03096,207
0,GCF_005889575_01189,1.2,GCF_005889575_01189,GCF_005889575_01189,266
0,GCF_005889575_01189,1.2,GCF_005889575_01189,GCA_017592725_00755,266
0,GCF_005889575_01189,1.4,GCF_005889575_01189,GCF_005889575_01189,266
0,GCF_005889575_01189,1.4,GCF_005889575_01189,GCA_017592725_00755,266
0,GCF_005889575_01189,2.0,GCF_005889575_01189,GCF_005889575_01189,266
0,GCF_005889575_01189,2.0,GCF_005889575_01189,GCA_017592725_00755,266
0,GCF_005889575_01189,4.0,GCF_005889575_01189,GCF_005889575_01189,266
0,GCF_005889575_01189,4.0,GCF_005889575_01189,GCA_017592725_00755,266
0,GCF_005889575_01189,6.0,GCF_005889575_01189,GCF_005889575_01189,266
0,GCF_005889575_01189,6.0,GCF_005889575_01189,GCA_017592725_00755,266
0,GCF_000009145_00933,1.2,GCF_000009145_00933,GCF_000009145_00933,80
0,GCF_000009145_00933,1.4,GCF_000009145_00933,GCF_000009145_00933,80
0,GCF_000009145_00933,2.0,GCF_000009145_00933,GCF_000009145_00933,80
0,GCF_000009145_00933,4.0,GCF_000009145_00933,GCF_000009145_00933,80
0,GCF_000009145_00933,6.0,GCF_000009145_00933,GCF_000009145_00933,80
0,GCA_017592745_03831,1.2,GCA_017592745_03831,GCA_017592745_03831,58
0,GCA_017592745_03831,1.4,GCA_017592745_03831,GCA_017592745_03831,58
0,GCA_017592745_03831,2.0,GCA_017592745_03831,GCA_017592745_03831,58
0,GCA_017592745_03831,4.0,GCA_017592745_03831,GCA_017592745_03831,58
0,GCA_017592745_03831,6.0,GCA_017592745_03831,GCA_017592745_03831,58
0,GCF_000355765_02778,1.2,GCF_000355765_02778,GCF_000355765_02778,176
0,GCF_000355765_02778,1.4,GCF_000355765_02778,GCF_000355765_02778,176
0,GCF_000355765_02778,2.0,GCF_000355765_02778,GCF_000355765_02778,176
0,GCF_000355765_02778,4.0,GCF_000355765_02778,GCF_000355765_02778,176
0,GCF_000355765_02778,6.0,GCF_000355765_02778,GCF_000355765_02778,176
0,GCA_017592785_00844,1.2,GCA_017592785_00844,GCA_017592785_00844,73
0,GCA_017592785_00844,1.2,GCA_017592785_00844,GCA_009467855_02130,73
0,GCA_017592785_00844,1.4,GCA_017592785_00844,GCA_017592785_00844,73
0,GCA_017592785_00844,1.4,GCA_017592785_00844,GCA_009467855_02130,73
0,GCA_017592785_00844,2.0,GCA_017592785_00844,GCA_017592785_00844,73
0,GCA_017592785_00844,2.0,GCA_017592785_00844,GCA_009467855_02130,73
0,GCA_017592785_00844,4.0,GCA_017592785_00844,GCA_017592785_00844,73
0,GCA_017592785_00844,4.0,GCA_017592785_00844,GCA_009467855_02130,73
0,GCA_017592785_00844,6.0,GCA_017592785_00844,GCA_017592785_00844,73
0,GCA_017592785_00844,6.0,GCA_017592785_00844,GCA_009467855_02130,73
0,GCF_000619905_02141,1.2,GCF_000619905_02141,GCF_000619905_02141,197
0,GCF_000619905_02141,1.4,GCF_000619905_02141,GCF_000619905_02141,197
0,GCF_000619905_02141,2.0,GCF_000619905_02141,GCF_000619905_02141,197
0,GCF_000619905_02141,4.0,GCF_000619905_02141,GCF_000619905_02141,197
0,GCF_000619905_02141,6.0,GCF_000619905_02141,GCF_000619905_02141,197
0,GCF_000196355_02257,1.2,GCF_000196355_02257,GCF_000196355_02257,127
0,GCF_000196355_02257,1.4,GCF_000196355_02257,GCF_000196355_02257,127
0,GCF_000196355_02257,2.0,GCF_000196355_02257,GCF_000196355_02257,127
0,GCF_000196355_02257,4.0,GCF_000196355_02257,GCF_000196355_02257,127
0,GCF_000196355_02257,6.0,GCF_000196355_02257,GCF_000196355_02257,127
0,GCF_900089955_02455,1.2,GCF_900089955_02455,GCF_900089955_02455,324
0,GCF_900089955_02455,1.4,GCF_900089955_02455,GCF_900089955_02455,324
0,GCF_900089955_02455,2.0,GCF_900089955_02455,GCF_900089955_02455,324
0,GCF_900089955_02455,4.0,GCF_900089955_02455,GCF_900089955_02455,324
0,GCF_900089955_02455,6.0,GCF_900089955_02455,GCF_900089955_02455,324
0,GCA_017592775_02243,1.2,GCA_017592775_02243,GCA_017592775_02243,69
0,GCA_017592775_02243,1.4,GCA_017592775_02243,GCA_017592775_02243,69
0,GCA_017592775_02243,2.0,GCA_017592775_02243,GCA_017592775_02243,69
0,GCA_017592775_02243,4.0,GCA_017592775_02243,GCA_017592775_02243,69
0,GCA_017592775_02243,6.0,GCA_017592775_02243,GCA_017592775_02243,69
0,GCA_016714975_00291,1.2,GCA_016714975_00291,GCA_016714975_00291,18
0,GCA_016714975_00291,1.4,GCA_016714975_00291,GCA_016714975_00291,18
0,GCA_016714975_00291,2.0,GCA_016714975_00291,GCA_016714975_00291,18
0,GCA_016714975_00291,4.0,GCA_016714975_00291,GCA_016714975_00291,18
0,GCA_016714975_00291,6.0,GCA_016714975_00291,GCA_016714975_00291,18
0,GCF_000014765_01409,1.2,GCF_000014765_01409,GCF_000014765_01409,105
0,GCF_000014765_01409,1.4,GCF_000014765_01409,GCF_000014765_01409,105
0,GCF_000014765_01409,2.0,GCF_000014765_01409,GCF_000014765_01409,105
0,GCF_000014765_01409,4.0,GCF_000014765_01409,GCF_000014765_01409,105
0,GCF_000014765_01409,6.0,GCF_000014765_01409,GCF_000014765_01409,105
0,GCF_000519045_03415,1.2,GCF_000519045_03415,GCF_000519045_03415,183
0,GCF_000519045_03415,1.4,GCF_000519045_03415,GCF_000519045_03415,183
0,GCF_000519045_03415,2.0,GCF_000519045_03415,GCF_000519045_03415,183
0,GCF_000519045_03415,4.0,GCF_000519045_03415,GCF_000519045_03415,183
0,GCF_000519045_03415,6.0,GCF_000519045_03415,GCF_000519045_03415,183
0,GCA_016721185_01981,1.2,GCA_016721185_01981,GCA_016721185_01981,32
0,GCA_016721185_01981,1.4,GCA_016721185_01981,GCA_016721185_01981,32
0,GCA_016721185_01981,2.0,GCA_016721185_01981,GCA_016721185_01981,32
0,GCA_016721185_01981,4.0,GCA_016721185_01981,GCA_016721185_01981,32
0,GCA_016721185_01981,6.0,GCA_016721185_01981,GCA_016721185_01981,32
0,GCF_009469765_00433,1.2,GCF_009469765_00433,GCF_009469765_00433,287
0,GCF_009469765_00433,1.2,GCF_009469765_00433,GCF_001551835_02806,287
