bin:contig,start,end,locus_tag,ec_num
3300026303.a:Ga0209793_1000049,98053,98895,BFDIBNHA_00574,3.4.15.6
3300013502.a:Ga0119901_1000003,211353,212195,BFHKKPGM_01974,3.4.15.6
3300025858.a:Ga0209099_1000162,252,1115,GICMJOCC_01549,3.4.15.6
3300009769.a:Ga0116184_10000164,2965,3669,JENNICML_00139,3.4.15.6
3300014832.a:Ga0119905_1000605,1387,1914,PNJHOGJH_02059,3.4.15.6
3300025686.a:Ga0209506_1002000,17273,18133,MCCAACLN_02417,3.4.15.6
3300025618.a:Ga0208693_1002788,2747,3559,MEHMNHCD_00859,3.4.15.6
3300027786.a:Ga0209812_10000995,12788,13630,DMABNEIM_00641,3.4.15.6
3300026283.a:Ga0209368_1000014,233012,233896,BLHLJHEN_01568,3.4.15.6
3300025471.a:Ga0209508_1000817,2663,3463,INHDPCIF_01176,3.4.15.6
3300025683.a:Ga0208564_1003550,2761,3573,CFFFJMIJ_01070,3.4.15.6
3300026516.a:Ga0209573_1000445,61773,62621,DJCPEEIO_00657,3.4.15.6
3300025715.a:Ga0209310_1000005,460030,460929,DDMLFKMA_01312,3.4.15.6
3300025393.a:Ga0208041_1000013,54608,55459,CICHDAIN_00172,3.4.15.6
3300012533.a:Ga0138256_10000018,207272,208078,LPKEGACG_00989,3.4.15.6
3300012533.a:Ga0138256_10000186,71693,72547,LPKEGACG_03058,3.4.15.6
3300026283.a:Ga0209368_1000025,137531,138283,CJEACHFG_02515,3.4.15.6
3300026303.a:Ga0209793_1000209,72071,72937,JLKJLKMK_02200,3.4.15.6
3300026284.a:Ga0209792_1000050,175267,176139,ANBCNFJJ_00205,3.4.15.6
3300025855.a:Ga0209717_1002576,13969,15315,PNBIKIBE_03229,3.4.15.6
3300009769.a:Ga0116184_10000792,29925,30767,HDPEBOOM_01682,3.4.15.6
3300025858.a:Ga0209099_1003888,3835,4740,CGKICAHN_00271,3.4.15.6
3300009772.a:Ga0116162_10001294,4984,5865,FIGOLPCK_01263,3.4.15.6
3300026299.a:Ga0209570_1000040,233012,233896,OCLNDMPH_01353,3.4.15.6
3300028622.a:Ga0302253_1000001,208731,209636,JDFLMFFP_01945,3.4.15.6
3300026286.a:Ga0209460_1000016,425072,425911,BIJKDFHJ_00402,3.4.15.6
3300023194.a:Ga0256612_1011196,113556,114497,BCPFCBFH_00461,3.4.15.6
3300026288.a:Ga0209572_1000279,20139,20852,CFNMMHKF_01056,3.4.15.6
3300025618.a:Ga0208693_1000112,23493,24299,PKKIOCPO_00643,3.4.15.6
3300026516.a:Ga0209573_1001369,12761,13648,JHOOENFI_03134,3.4.15.6
3300026302.a:Ga0209794_1000033,233012,233896,INKJGNDP_01128,3.4.15.6
3300026516.a:Ga0209573_1002889,16325,17206,APMHFLBK_01985,3.4.15.6
3300026288.a:Ga0209572_1002138,5525,6397,MBNOJLMN_02093,3.4.15.6
3300025861.a:Ga0209605_1000125,56702,57562,EAJPPLPO_00154,3.4.15.6
