locus_tag,ftype,length_bp,gene,EC_number,COG,product,bin
BLHLJHEN_01569,CDS,2850,cphA,6.3.2.29,,Cyanophycin synthetase,3300026283_14
JLKJLKMK_02201,CDS,2793,cphA,6.3.2.29,,Cyanophycin synthetase,3300026303_10
CAGNBKGH_00354,CDS,2838,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300009704_10
LEBKMLKN_00735,CDS,2850,cphA,6.3.2.29,,Cyanophycin synthetase,3300026286_14
IBIDFEHA_00928,CDS,1746,cphA_1,6.3.2.29,COG0769,Cyanophycin synthetase,3300009540_22
IBIDFEHA_01267,CDS,2661,cphA_2,6.3.2.29,COG0769,Cyanophycin synthetase,3300009540_22
ANBCNFJJ_00206,CDS,2862,cphA,6.3.2.29,,Cyanophycin synthetase,3300026284_11
OGHLLNBJ_01196,CDS,1065,cphA,6.3.2.29,,Cyanophycin synthetase,3300025677_3
BPAONJBP_02174,CDS,2628,cphA,6.3.2.29,,Cyanophycin synthetase,3300026283_13
MBNOJLMN_02092,CDS,2622,cphA,6.3.2.29,,Cyanophycin synthetase,3300026288_16
DMABNEIM_00642,CDS,2811,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300027786_11
GLLLIDEN_00803,CDS,2850,cphA,6.3.2.29,,Cyanophycin synthetase,3300026287_15
CJEACHFG_00147,CDS,2784,cphA,6.3.2.29,COG0769,Cyanophycin synthetase,3300026283_12
FONNAEDF_01387,CDS,2649,cphA,6.3.2.29,,Cyanophycin synthetase,3300025861_25
GBJMLJLC_04932,CDS,2565,cphA_1,6.3.2.29,,Cyanophycin synthetase,3300026288_4
GBJMLJLC_04933,CDS,2220,cphA_2,6.3.2.29,,Cyanophycin synthetase,3300026288_4
FPDKHEHM_02128,CDS,2673,cphA_1,6.3.2.29,COG0769,Cyanophycin synthetase,3300025683_11
FPDKHEHM_02129,CDS,2301,cphA_2,6.3.2.29,COG0769,Cyanophycin synthetase,3300025683_11
DMEMHIGD_00694,CDS,2850,cphA,6.3.2.29,,Cyanophycin synthetase,3300026288_21
GFNAJHAB_02600,CDS,2637,cphA,6.3.2.29,,Cyanophycin synthetase,3300023187_9
KILKOFOF_01724,CDS,2553,cphA,6.3.2.29,,Cyanophycin synthetase,3300025855_24
